[00:00:00.800] 男：那我不说了，你说。
[00:04:38.303] 男：但他从头到尾他都没有说这到底是意味着什么，也没有说到底是什么样的后果和结局。
[00:04:46.260] 男：他只是站在他的视角上说，他已经做好准备了。
[00:04:50.029] 男：做好什么准备？
[00:04:51.380] 男：他没有说对啊。
[00:04:52.469] 女：后果是什么？
[00:04:53.376] 女：为什么为什么他亲我做好这个决定就会带来后果呢？
[00:04:57.370] 女：其实他知道这个事情本身就不合理吧。
[00:05:00.274] 女：对啊。
[00:05:00.637] 男：他知道这个事情本身就不合理，但是他还是做了。
[00:05:04.268] 女：他嗯他他为什么觉得这个事情是那么重要的一个。
[00:05:08.600] 女：标准呢就只能通过他去就只能通过亲去。
[00:05:15.080] 男：不是我跟你说，我觉得他这个就是我现在越往后想，我觉得他其实并不是。
[00:05:23.080] 男：觉得觉得听这个事情会带来什么后果，他做好准备他才去听。
[00:05:27.918] 男：他不是这样，我觉得他那天晚上应该就是顶头上脑，他做了这些事情，然后后面疯狂给自己找补。
[00:05:35.465] 女：对呀对呀。
[00:05:36.400] 男：那所以根本就不存在什么你做好准备了，其实就是你像一个渣男睡完之后说我会给我会负责的那种感觉。
[00:05:44.740] 女：对呀。
[00:05:48.100] 女：都都都想都想带带上床了，还能咋地呢？
[00:05:52.060] 男：你那个我是真没看到，我是真没看到。
[00:05:54.124] 男：他才。
[00:05:56.800] 女：刚表白完几次时候，去公园要不要过夜？
[00:06:00.520] 女：然后那个时候我我用就是我我我想跟他说一些事情，然后给他。
[00:06:06.340] 女：就是给就是就是就是给他绕回来了。
[00:06:08.952] 女：就是就是就是在那之前我要把把那个人的存在跟他说了让他自己去想，还要不要跟我跟我去玩。
[00:06:16.060] 女：然后然后然后第一次过夜是是是，那次表白没两天，想过夜你懂吗？
[00:06:22.460] 男：嗯，那那里面没有规吧。
[00:06:25.320] 女：因为因为正好在周六。
[00:06:28.040] 女：周五、周六、周周日。
[00:06:29.839] 男：表达能力不亚于一个纯棉三角。
[00:06:35.880] 女：然后然后第二次公园就是在昨天晚上。
[00:06:40.480] 女：前天晚上。
[00:06:44.080] 女：然后完了他还他意犹未尽说，哎，你应该就想，哎，没没做成好可惜，应该还有下次吧。
[00:07:00.300] 男：表达能力真的好。
[00:07:03.280] 女：他我要是给他发一些东西，我他估计都不能理解。
[00:07:11.260] 男：看我能不能理解。
[00:07:12.681] 女：你肯定能理解。
[00:07:21.960] 女：那个想破脑袋都不会想到。
[00:07:23.952] 男：怕我理解不了的。
[00:07:25.620] 男：你就从那个呃细节上的犹豫，主观上的出发点和事后的承诺，这几句他包不能理解的管他。
[00:07:34.240] 女：没那个脑子就别跟我玩。
[00:07:38.820] 男：但是我跟你说，如果你今天没有跟我说这些事情的话，我可能也不能理解你这句话。
[00:07:44.267] 男：我只会觉得你是在对，那你肯定得知道。
[00:07:46.830] 女：发生了什么事情，你才能知道我指代的是啥。
[00:07:49.714] 女：你怎么可能突然间给你看这个的吧，是个人都看不懂吗？
[00:07:57.800] 男：我真的很好奇你发给他之后会发生什么？
[00:08:01.320] 男：我也不知道要发生什么，要不你现在发吧，我看他会不会过来问我。
[00:08:06.000] 女：啊，现在发，反正咱。
[00:08:07.932] 男：咱俩是。
[00:08:09.260] 女：他应该知道我们俩在一块啊。
[00:08:13.920] 男：那他他就算他看完了之后，他肯定会回你的呀。
[00:08:17.440] 女：我不想回他他第二天看到他就烦，我还要做作业呢。
[00:08:21.371] 女：行，我要是我要是搞这个，我我我又得今天晚上又得跟他沟通。
[00:08:26.051] 男：不是我今我今天晚上又得烦了。
[00:08:28.485] 女：我我我复习那两天满脑子都是我我要我要跟他说一些什么事情，然后他可能会有什么样的反应，我得我得我得怎么详略得到。
[00:08:38.780] 女：哎，太复杂了我。
[00:08:43.380] 女：我不会是客户。
[00:08:46.840] 女：我不要老路数，那行吧。
[00:08:49.780] 男：怎么说呢？
[00:08:50.586] 男：哎，你们那个微格教学是每个人获得一部分吗？
[00:08:54.560] 女：我其实都凭什么，其实都不知道这是干嘛。
[00:08:57.450] 男：我们是一个人要讲，一直听一篇。
[00:08:59.660] 男：你们老师傻逼，对啊，傻逼。
[00:09:01.360] 男：而且他他坚持的是每个人只能讲十分钟，十分钟之内你要讲完。
[00:09:06.000] 男：要要包含的什么？
[00:09:07.666] 男：导入精读，导入出读精读和小节。
[00:09:11.640] 女：我要不跟他玩，被他上了怎么办啊，你不要跟他玩了。
[00:09:18.520] 女：虽然开心真的很开心啊，但是真的很下头啊，就那一次。
[00:09:30.380] 男：能看得出来他是真的喜欢你，但是我也能看得出来他真是。
[00:09:34.600] 女：我也能看出来他真的喜欢我。
[00:09:41.820] 男：你要不买买瓶防狼喷雾吧。
[00:09:46.300] 男：你怎么老是能遇到这种烂人呢？
[00:09:48.960] 男：我一开始我真觉得他人还行，但是为什么他也是这种浪人啊？
[00:09:56.840] 男：问题啊，你要不找个庙找个寺庙上上香吧。
[00:10:02.360] 女：神经病啊，我操。
[00:10:03.912] 男：全是这种傻逼。
[00:10:05.464] 男：我本来。
[00:10:06.240] 女：想着前两年过得都够苦了，但他不会吧。
[00:10:10.520] 女：本来想着到时候遇到了他，感觉他人也还行。
[00:10:13.731] 女：对呀，哎呀大叔终于碰到了个正常人，可以可以哎呀，可以给我提供那种学业上的一些知识啦，那个技能上那些知识了，哎呀，终于可以转正轨了。
[00:10:25.980] 男：哇，你还是跟那个人玩吧。
[00:10:29.920] 男：他到底是谁？
[00:10:31.248] 男：我我认识吗？
[00:10:32.576] 女：你不认识啊。
[00:10:33.904] 男：他也是写诗的吗？
[00:10:35.763] 女：不算吧。
[00:10:39.360] 男：真真老师说，不建议搞文学的跟搞文学的一起玩。
[00:10:43.620] 女：来。
[00:10:45.060] 男：他不算搞文学的。
[00:10:46.435] 女：确实不算，但是他也是文学系的，不一样。
[00:10:51.140] 女：嗯。
[00:10:53.200] 男：真的，老师说解释的都是变态。
[00:10:55.880] 男：他算不算变态，他不显示啊。
[00:10:58.382] 女：它显示一陀。
[00:11:02.920] 女：本来的是。
[00:11:04.820] 女：他本来本来大家专攻的地方就不一样，他没有来收费也是出于这方面的原因啊。
[00:11:14.200] 女：他他的能力在实实干上。
[00:11:17.920] 女：是啊，还有还有人人介绍。
[00:11:20.536] 女：是啊。
[00:11:22.120] 女：对，那个什么诗啊，什么文学啊，一点一点都不重要。
[00:11:27.192] 女：但是。
[00:11:28.120] 女：那又怎么样，还不是个警察。
[00:11:33.080] 男：你这个人不不是那个什么吧嗯，你这个人不是写诗的吧。
[00:11:39.500] 女：不放。
[00:11:40.840] 男：不算，就是说他他会他会碰。
[00:11:42.875] 女：他会接受这种理论，但是他不会认为自己是个师，而且平时也不写不太写的东西。
[00:11:49.800] 男：那他其实就算。
[00:11:51.440] 男：那他应该没那么有病吧。
[00:11:53.760] 女：我们两个臭味相投。
[00:11:56.160] 男：你俩都有病。
[00:11:58.840] 女：都都确实都挺有病的。
[00:12:01.315] 男：太棒了。
[00:12:09.280] 女：我也不知道他讲我啥。
[00:12:11.200] 男：没事。
[00:12:12.400] 女：但是他喜欢我们的店，其实都挺宽泛的。
[00:12:15.099] 女：他他自己讲的话。
[00:12:16.520] 女：怎么能吃到一块去啊？
[00:12:19.320] 女：兴趣上进嘛，然后觉得我比较。
[00:12:22.680] 女：有有思想的。
[00:12:24.589] 男：我觉得你比较。
[00:12:27.960] 男：其实他跟我说过他为什么去。
[00:12:30.325] 女：他也不知道，他他说也看不懂在我的感情是啥啊。
[00:12:34.267] 男：他跟我说过为什么喜欢你，他说他不喜欢那些世俗的人，他觉得你不一样。
[00:12:40.180] 女：就是这个还有吗？
[00:12:41.700] 男：他就说过这个。
[00:12:43.940] 女：放屁呀，他没因为我没有问他。
[00:12:46.565] 男：我没有问他他他也他也是。
[00:12:48.972] 女：他也是这么跟我说的，我就。
[00:12:51.520] 女：看着点放屁呀。
[00:12:55.940] 男：其实我觉得他就是喜欢与众不同的。
[00:12:59.080] 女：又希望你与众不同，又希望又希望你可以依附于他。
[00:13:04.880] 女：你搞不搞搞不搞笑傻。
[00:13:09.580] 男：加了个名单，这是什么加分名单啊？
[00:13:13.540] 女：嗯，我都不知道拿他怎么办，现在我就是我就是想花点时间思考一下。
[00:13:21.360] 女：你说我我我往哪里报，他又被考，我都考不了。
[00:14:32.300] 女：愁啥？
[00:14:34.620] 女：嗯，臭傻逼。
[00:14:44.680] 女：你也觉得挺傻逼的对吧？
[00:14:46.800] 女：那这个吧。
[00:14:48.240] 女：我就坚定了，最开始我单独跟他看他那些东西的时候，我还有点。
[00:14:54.540] 男：动摇了。
[00:14:55.776] 女：纠结嗯。
[00:14:57.012] 男：动摇个蛋。
[00:15:01.280] 男：你发生那件事情之前，我都都我都能想着能不能说说服你们俩。
[00:15:08.780] 女：在发生那件事情之后。
[00:15:10.591] 男：我怎么睡啊，我操。
[00:15:12.560] 女：本性啊原则性的问题啊。
[00:15:16.740] 女：他他他他在真正重要的时候，他是一个什么样的人？
[00:15:25.080] 男：我感觉他是属于那种他是多喜欢你，但他不会把自己放在本位上的人。
[00:15:29.520] 女：对啊。
[00:15:31.040] 女：我还我以为他怎么说也会克制啊，会尊重吧，结果结果这么自我也完全沉不住气。
[00:15:38.820] 女：我我我稍微表示出呃，可能没有，不会按照他理想的情况去发展，他就他就炸了，他就忍不住了。
[00:15:47.100] 女：他就想赶快那个啥，然后然后然后然后办法办的很弱势。
[00:15:54.220] 女：头发也会长。
[00:15:56.540] 女：然后昨天一整天，我好像我就我我就我就想不起来邓奕晨的声音是啥样啊，感觉坐在我旁边那个说话的人是合川。
[00:16:08.680] 女：就是很诡异，我都很久没有想起来好诡异，我很久没有想起来合唱的声音了。
[00:16:14.337] 女：但是但但是我昨天就是就是就是在走神以后就想想起来，段先说这些话全都变成了和尚的声音，然后连段先生长什么样我都有点忘记了，这两个人的形象混同上来。
[00:16:26.746] 男：别这样你别这样，你别这样，很诡异，真的很诡异。
[00:16:30.213] 男：你你要不你真的就离你离他远一段时间，所以我才说我不可能回复他。
[00:16:35.505] 女：不可能找他，你先屏蔽他一段时间。
[00:16:38.060] 男：不然的话我担心你后面会有心理疾病。
[00:16:41.420] 女：本来就有了你真有啊，你可以这么理解抑郁吗？
[00:16:45.765] 男：还是什么？
[00:16:47.820] 男：还是创伤后的那个应急障碍。
[00:16:50.580] 女：你可以这么理解。
[00:16:52.190] 男：真是这个。
[00:16:53.110] 女：为啥都有啊。
[00:16:54.620] 男：是从河床那个事情之后。
[00:16:56.694] 女：还是说在那之前就有啊在那之前就有，只是河床这个人让让让他们变得更严重。
[00:17:04.920] 男：你在那之前还遇到过什么事情？
[00:17:06.787] 男：还遇到过类似的事情。
[00:17:08.220] 女：不是类似的事情，只是人生就这样了。
[00:17:14.700] 男：哇，真的是我火的。
[00:17:17.940] 女：我不知道他为什么。
[00:17:19.620] 女：我还想着剩下两年应该能好好过了。
[00:17:23.362] 男：你你把你那个。
[00:17:25.000] 男：生日吧。
[00:17:27.280] 女：20031122。
[00:17:31.200] 女：好苦啊，2003112嗯。
[00:17:35.940] 女：哎呦，操。
[00:17:38.580] 男：农历阴历阴历。
[00:17:40.196] 女：农历不好记2000。
[00:17:42.760] 男：12112 21月22好。
[00:17:47.900] 女：好，去吧。
[00:17:50.200] 男：好熟悉的一串数字。
[00:17:52.218] 女：我跟你讲过吧。
[00:17:53.731] 男：1122. 
[00:17:54.740] 女：对呀。
[00:17:55.245] 男：好熟悉的一串数字。
[00:17:57.263] 女：为什么？
[00:17:59.860] 男：你自己看。
[00:18:03.620] 女：残月什么意思？
[00:18:05.110] 男：你的人生拼图。
[00:18:12.420] 女：晗玥是什么意思啊？
[00:18:13.932] 男：就是他们有一个说法说，如果你出生那天的月亮越圆就说明你这一生月圆嘛。
[00:18:21.340] 女：挺有意思的。
[00:18:22.344] 女：之前罗宁给我张塔罗牌也说，为什么你。
[00:18:25.700] 女：我你你你真的很神奇，就是别的人给我在我这张不会抽到那么多的月亮，反正你你在我这总是会抽到很多很多月亮。
[00:18:34.780] 女：那他那个月亮。
[00:18:35.915] 男：是代表什么意思？
[00:18:37.540] 女：一些悲伤啊那种。
[00:18:42.640] 男：啊，你你在东莞出生的是吗？
[00:18:44.981] 女：你可以去搜一下那个那个塔罗牌里面的岳是什么意思？
[00:18:49.878] 男：东莞你在东莞出生是吧？
[00:18:52.007] 男：对。
[00:18:52.640] 男：我再把地点加进去，看看准不准。
[00:18:57.460] 男：加不了，为什么只能关？
[00:19:00.360] 男：广州啊。
[00:19:01.940] 男：你可以到时候回家之后再带我。
[00:19:05.000] 女：还有这种东西吗？
[00:19:06.529] 男：刷视频刷到的。
[00:19:09.580] 男：嗯。
[00:19:12.120] 男：我只能说真诚的。
[00:19:15.340] 男：我帮你吧。
[00:19:20.440] 男：查一下张一水。
[00:19:23.000] 女：他尿了，他他是他是。
[00:19:24.929] 男：什么时候，我不知道。
[00:19:26.858] 女：他他3月29号的，我还得给他买生日礼物。
[00:19:31.441] 女：操你妈农历经历。
[00:19:33.129] 男：他跟我的那些是像的。
[00:19:35.700] 女：反正是这一年在29号新历吧。
[00:19:42.020] 男：等一下我查一下。
[00:19:44.420] 男：我发你了，他就是呃，200几，他。
[00:19:47.918] 女：04年的04，然后呢？
[00:19:50.480] 女：你你就当你就当他都是3月29吧。
[00:20:00.120] 女：你怎么说？
[00:20:01.360] 男：比你好一点呗，怎么说。
[00:20:03.148] 女：本来就比我好啊。
[00:20:06.020] 男：我觉得他那一块安危是因为他高中被人霸凌。
[00:20:10.000] 男：一个人比他大。
[00:20:12.380] 女：魔鬼。
[00:20:14.060] 女：喜欢过我的男的都比我小。
[00:20:18.940] 男：不对啊，你为什么是08的？
[00:20:20.810] 男：你复读过吗？
[00:20:22.160] 女：还是你首首首先我读书吧，然后我休学过。
[00:20:25.907] 男：是因为他一些事情，然后休学挺多的。
[00:20:29.213] 女：反正当时班主任挺傻逼的，还有一些。
[00:20:32.660] 女：我的自我探索吧，就是我需要一段一段就属于自己的一个时间，结果结果遇到疫情了。
[00:20:40.020] 男：这是我。
[00:20:42.980] 女：好好准啊。
[00:20:45.480] 男：好准觉得这一段英语应该是因为我高高一上半学期吧。
[00:20:50.440] 男：高高一上半高一的上学期遇到的遇到的人基本全部是好人。
[00:20:55.860] 男：嗯嗯。
[00:21:03.840] 男：你对AI暂定信吗？
[00:21:07.780] 女：可以玩一玩的态度来。
[00:21:10.600] 男：因为我之前找我。
[00:21:12.275] 女：我因为我都我不知道我不知道就是呃。
[00:21:16.103] 男：前年的寒假。
[00:21:17.440] 男：我以一己之力，带动我身边所有的人都开始分离。
[00:21:21.040] 男：我带了我姐带了我两个姐，开始上面带了我三个朋友。
[00:21:26.360] 男：嗯，然后其实算的有一点点准吧。
[00:21:29.580] 男：嗯。
[00:21:39.140] 男：你就是你的生日是2003嗯1122，你这个数字真的好好好，那什么我查一下怎么了。
[00:21:49.260] 男：好像我好像我的热点密码。
[00:21:53.110] 女：我的发。
[00:22:00.020] 男：很像。
[00:22:01.700] 男：我是127，你是1122，说怎么这么像。
[00:22:07.080] 女：可以哦。
[00:22:08.293] 男：可以哦，122。
[00:22:12.700] 男：嗯，广东。
[00:22:28.840] 男：先算一下你前半身，然后你看看准不准，然后不准的话。
[00:22:45.680] 女：你猜我为啥不想和你见面？
[00:22:48.115] 女：臭傻逼。
[00:22:49.420] 男：你来了，升级了。
[00:22:51.600] 女：没啊。
[00:22:51.908] 男：那你刚才手机摁在那里，我以为那个人发语音。
[00:22:54.838] 女：我是神经病啊，好消息啊。
[00:22:58.000] 女：我给他放音乐，让他爽到了。
[00:23:06.880] 女：哎，说白了就挺爽。
[00:23:15.840] 男：他在算什么？
[00:23:18.220] 男：AI你知道他从我我问他过去20年的运势，他从这里开始算吗？
[00:23:26.000] 男：还没算完啊，为啥？
[00:23:27.981] 女：因为他会分析。
[00:23:29.679] 男：你出生的每一年。
[00:23:33.620] 男：的运势，然后再来分析你未来的运势。
[00:23:39.640] 男：这个是从五岁开始。
[00:23:42.380] 男：现在是555岁。
[00:23:45.280] 男：六岁七岁八岁9岁，10到一直到15，现在五年期到20了。
[00:23:52.540] 女：看不懂啊，这是什么？
[00:23:54.444] 男：根据根据中国传统的天干天干12. 
[00:23:58.014] 女：你再给我解释一下。
[00:23:59.918] 男：我看不懂。
[00:24:00.870] 男：没事啊。
[00:24:01.584] 女：他会给你解释的啊。
[00:24:03.488] 男：像身弱财官旺、体质偏弱、心思细腻。
[00:24:06.960] 男：体质，不好意思，普通话不标准。
[00:24:09.500] 男：体质偏弱，心思细腻，早年易受环境影响。
[00:24:18.000] 男：好可爱呃。
[00:24:20.500] 男：你看准不准。
[00:24:21.811] 男：第一点，幼年时期，03到08年。
[00:24:26.100] 男：此阶段身体抵抗力较差，易有液体、消化不良等小儿常见问题。
[00:24:32.557] 男：还好没有是吧。
[00:24:34.106] 女：没有影响。
[00:24:35.620] 男：那你的小时候身体抵抗力是不是差？
[00:24:38.904] 男：不算好身体环境不是家庭环境，可能为较为普通父母忙碌。
[00:24:45.880] 女：小时候倒不算。
[00:24:47.265] 男：小时候不算。
[00:24:48.420] 男：03到08好，这个不认识。
[00:24:51.400] 男：下一个。
[00:24:52.680] 男：5岁到15岁的时候，他说你。
[00:24:56.260] 男：较为听话，但内部敏感。
[00:24:59.580] 男：5岁到15岁，15岁就是你可能在别人看来，在父母看来是比较听话的，但是你内心敏感。
[00:25:07.700] 女：15岁我绝对不听话，我当时都在反抗我的家庭了。
[00:25:12.396] 女：好。
[00:25:16.920] 男：我说他傻逼吧，09年09年你几岁？
[00:25:22.460] 女：08年我还在上幼儿园。
[00:25:25.720] 男：他说你09年学习还可以。
[00:25:28.167] 女：确实啊真的真的我小学成绩很好哦。
[00:25:31.503] 男：好，他说你10年就叛逆了，10年是什么时候？
[00:25:35.730] 女：10年我才刚上小学。
[00:25:37.732] 男：叛逆吗？
[00:25:39.560] 女：不算吧，有一点有一点叛逆心啊。
[00:25:42.482] 男：他说有叛逆情绪，但不算叛逆。
[00:25:46.760] 男：他说13年是你比较有利的年份，13年学业进步，思维活跃嗯，好，14年成绩提升，心情愉快。
[00:25:58.680] 女：我整个小学阶段你都可以这么去说。
[00:26:01.540] 男：好，那我们我。
[00:26:02.775] 女：16年. 
[00:26:03.516] 男：上学就直接跳直接跳到15岁。
[00:26:06.728] 男：他说15岁是人生中就15到20岁是人生中较为艰难的阶段。
[00:26:14.660] 男：呃，七杀攻身，压力倍增，有情绪波动、健康隐患，甚至意外的挫折。
[00:26:22.800] 男：18年升学。
[00:26:25.560] 男：对我看不懂这个，只有我们跳过吧。
[00:26:28.112] 男：他说什么虚伪当行，我看不懂。
[00:26:30.440] 男：19年。
[00:26:31.920] 男：呃，表面有助力，实则内里同时亦感到孤立无援。
[00:26:37.924] 男：对。
[00:26:38.400] 男：真的。
[00:26:39.380] 男：20年呃，相关切身精力不济，可能因病缺课或心情郁闷，对我操21年。
[00:26:48.520] 男：呃，早期应该。
[00:26:50.035] 女：还不算影响，算啊21年. 
[00:26:53.066] 男：思维混乱，学习效率低下嗯。
[00:26:57.520] 男：22年。
[00:26:59.120] 男：可能是高考、升学或情感问题的关键节点，也有失眠、焦虑。
[00:27:04.333] 男：嗯。
[00:27:05.160] 男：二三年。
[00:27:08.000] 男：嗯。
[00:27:08.238] 男：他说，二三年你的运势跌入谷底，需要注意身体健康，避免情绪过激或遭人际关系破裂。
[00:27:17.040] 男：二三年刚上大学，那一年大一。
[00:27:19.632] 男：嗯。
[00:27:19.848] 女：你要说前半年的话，不算后半年的话，确实。
[00:27:25.960] 男：然后总结就是。
[00:27:30.560] 男：此命局水旺不服。
[00:27:36.040] 女：吓尿了。
[00:27:37.800] 男：对啊，但他说25岁之后，也就是2028年火土袭来，就有望扭转乾坤，厚积薄。
[00:27:45.618] 女：啥时候啊？
[00:27:46.566] 男：25岁后你现在几岁？
[00:27:48.935] 男：我还没到呢，还有几年？
[00:27:51.067] 女：两年吧。
[00:27:51.778] 男：28年那就是。
[00:27:55.200] 男：等一下我再仔细，我仔细问一下。
[00:27:58.560] 男：也就是说，你的生活中要出现国土这两个。
[00:28:05.220] 男：嗯，对等下。
[00:28:14.680] 女：嗯，怎么那么难呢？
[00:28:17.690] 女：都。
[00:28:19.720] 女：那骨灰。
[00:28:29.920] 女：你不知道我要回复他要做的情绪唠叨有多少操。
[00:28:33.443] 男：那你别回他呗。
[00:28:34.760] 男：你觉得说他就不适合回答？
[00:28:36.740] 女：不是迟早得回的那你。
[00:28:38.623] 男：晚点再回。
[00:28:39.920] 男：没有啊。
[00:28:40.614] 女：就是就是反正这个事情是在你做的，那个劳动都是要次数的。
[00:28:46.405] 男：对他他的呃他的意思就是说你的八字就是需要那种火属性和土属性的人。
[00:28:53.585] 女：你算吧。
[00:28:54.500] 男：我却不。
[00:28:56.540] 女：你是头吗？
[00:28:57.454] 女：应该是这这是我五行缺火。
[00:28:59.970] 男：所以我才带了一个。
[00:29:03.420] 女：挺有意思的，呃。
[00:29:04.812] 男：但是我又之前怎么说呢？
[00:29:07.132] 男：我跟我我他根据我的运势，他算确实呃算出来他说我缺火和缺木，但是我的木没有特别缺，因为我出生在广东，所以我不怎么缺木。
[00:29:19.429] 男：他说我缺火，然后我跟他说我性格上比较开朗大方，然后我名字里也有火，确实对。
[00:29:27.086] 男：然后跟他说了，他说了之后就是说呃我现在的火的能量确实有一部分的提升，就是我已经不像我刚出生那会那么缺火了啊。
[00:29:38.919] 男：对。
[00:29:39.151] 女：然后风风火火这个是。
[00:29:41.580] 男：所以我是宝箱，我看看。
[00:29:45.880] 男：那我等一下要算一下段医生是不是火和土的人。
[00:29:49.960] 男：他说火属性的人往往温暖积极有活力，然后土属性的就沉稳属性厚道了。
[00:29:56.080] 男：厚道他但凡。
[00:29:57.100] 女：不给我搞这一出，我真的觉得他很好。
[00:30:02.320] 男：他有些他有建议，他说你多去南方本地或中原发展，多穿红色、紫色。
[00:30:09.602] 女：黄色，瞅瞅瞅棕色ok。
[00:30:11.900] 男：你现在认识吧啊，然后未来的话可以倾向互联网文化传媒。
[00:30:18.200] 男：房地产、建筑、农业农业企业的这种人文化产品，互联网可以可以用。
[00:30:25.840] 女：嗯，没事。
[00:30:31.960] 男：你拿饭了吗？
[00:30:33.520] 男：算爱情财运还是不算爱情。
[00:30:35.968] 女：也算我情感运势吧。
[00:30:37.749] 女：好倒霉啊。
[00:30:41.440] 女：但医生之所以那么相信，是因为他他他粘了一沾了一卦。
[00:30:46.900] 女：他舍友说什么，他本来没有不想没有考虑粘的，他舍友硬是帮他粘了一一一段感情。
[00:30:53.615] 男：我和他有那个。
[00:30:54.940] 女：说他在合适在。
[00:30:57.560] 女：就是在不合适的时间遇到了对的人，然后就让他很在意，然后他就想起了我。
[00:31:03.320] 男：他觉得你是对的人，但是是在错误的时间，他觉得他应该早点认识你是这个意思吗？
[00:31:09.340] 男：还是定下来的。
[00:31:11.020] 男：他说，行动意伤，复原复杂。
[00:31:19.440] 女：你听AI吧，我先听AI吧，你听AI吧。
[00:31:22.751] 男：他说呃他现在给你分析了一下你的夫星特征和婚姻宫状态。
[00:31:27.925] 男：我们先说婚姻宫，婚姻宫的话就是说你本人魅力不足，易得一心青睐。
[00:31:35.220] 男：但是。
[00:31:36.660] 男：这一份呃东西也会加重你的继承，意味着感情关系往往会给你带来巨大的精神内耗和压力，陷入爱河时容易过度付出，迷失自我。
[00:31:48.505] 女：迷失自我。
[00:31:49.920] 女：也不算，哎，我操。
[00:31:51.488] 女：然后夫妻特征就是说。
[00:31:53.841] 男：你的感情世界容易复杂，既向往稳定的关系，又容易被不寻常的缘分吸引，泡妞遇到的情感纠葛较多。
[00:32:10.400] 女：在录音吗？
[00:32:11.346] 女：我在记录，我看一下你怎么记的啊。
[00:32:14.661] 男：看看有没有符合我说的，万一没有我。
[00:32:18.212] 女：就说了情重意伤，本人魅力不俗，一般是。
[00:32:22.860] 女：不是吗？
