[00:00:01.940] 男：我在偷偷记录。
[00:09:51.440] 男：他没想到在路上他问了我这两个问题，他本来早上还说这这段时间先不想了。
[00:09:58.220] 男：然后然后然后我就被冒犯到很多，我看最后还相亲吗？
[00:10:02.680] 男：昨天晚上才刚刚跟你说了，我知道我们之间的状态大概能是什么样子。
[00:10:08.820] 女：讨论过这个问题。
[00:10:10.600] 男：对，讨论过这两个。
[00:10:11.888] 女：问题给他答。
[00:10:12.808] 女：但是描。
[00:10:14.560] 男：嗯，也没有没有谈到过这两个问题，就是有点有点有点复杂。
[00:10:18.832] 男：就是我跟他说了我的一些经历，但是这个现在不太重要。
[00:10:22.927] 男：然后他那天晚上他还哭的很厉害。
[00:10:27.940] 男：做的很厉害，我靠。
[00:10:29.510] 女：还没见过他婆娘。
[00:10:32.420] 男：烂醉，然后再然后然后然后然后然后抱着。
[00:10:38.760] 男：没有为什么录视频？
[00:10:40.580] 男：没有，那当时当时有录音。
[00:10:43.000] 男：因为因为我跟他谈谈一些比较严肃的事情，我录录了一个存档，没有想到后面会有那个。
[00:10:49.540] 男：然后我就就是聊了很多很多我对他的看法，对我们。
[00:10:55.160] 男：我的想法没想到第二天晚上本来本来说的好好的，先先先冷静，先先不聊了。
[00:11:01.004] 男：然后意思是说他难过，我就去陪他，我想说我就陪他散心，走一走路就算了。
[00:11:06.980] 男：然后来了一个女生来打工这种。
[00:11:10.180] 女：就他很迫切得到这两个问题。
[00:11:12.340] 男：他想和他想到了和我结婚的事。
[00:11:16.160] 男：但是你没有想那么远。
[00:11:18.002] 女：我。
[00:11:18.207] 男：我不想结婚，我不想要小孩。
[00:11:21.400] 男：他看得出来他之前已经在有有就是说我跟他出去玩的时候，他有在试探我这两个问题。
[00:11:27.589] 男：然后我就以他以前想过这个不能去回答他，但是他应该就是想。
[00:11:32.200] 男：想着我们可以磨合，然后那些问题是可以什么改变的？
[00:11:35.528] 男：是。
[00:11:36.480] 男：然后我就跟我我我在他跟我表表白之前，我就跟他说过，我不想谈恋爱。
[00:11:41.900] 男：我我不能理解恋爱的这种观。
[00:11:44.600] 男：不是。
[00:11:45.800] 男：我们我我们这样的行为可以像传统的恋爱上面的那种人怎么样，但是我不希望是先确定了关系再做那种，就是反而是我们可是我们觉得之间彼此是比较自然了，然后他就想哦那我们这样的关系算什么？
[00:11:59.260] 男：你你能明白明白这个区别吗？
[00:12:01.462] 男：就在那之前，我就已经跟他这么说过了。
[00:12:04.900] 女：想法真的走了，赶快这边。
[00:12:08.320] 男：我不知道他是什么意思啊，不是说我希望我们可以永远一直在一起。
[00:12:12.860] 男：他他考虑以后的事情，考虑到什么结婚啊什么的，我就跟他说我不要。
[00:12:18.260] 男：然后那天晚上他就他就他就他就很崩溃，就是因为我发生了一些事情嘛，他都会觉得。
[00:12:24.580] 男：没有办法在。
[00:12:26.940] 男：然后然后本来我觉得到那天晚上都已经可以了，第二天我要补考，第二天中午我要补考，那两天我就在忙着弄这些东西，我当时就很怪他，中午中午我不考完，你最后发现我能做，那我还松了一口气。
[00:12:40.854] 男：下午他跟我说很难过。
[00:12:42.560] 男：我就晚上去陪他，晚上陪他问了我这两个很冒犯的问题。
[00:12:46.220] 男：然后我就很生气，然后我就喝酒，他没有说，他没有阻止我喝酒。
[00:12:52.360] 女：那他也不敢多，就给他哥。
[00:12:56.240] 男：他他那天晚上有点有点像变了一个人。
[00:13:01.120] 男：就是在那个过程中，我很生气，叫他不要碰我。
[00:13:04.200] 男：但是他但是他一直在靠近。
[00:13:06.500] 男：然后就是说能不能看你的手，然后我我挪开。
[00:13:10.840] 女：那你是希望他是这样的还。
[00:13:14.740] 男：我很我那天晚上很明确的告诉他，我不希望他碰。
[00:13:20.420] 男：因为很明显，他他看出来我生气了，他看出来他问了不合时宜的问题。
[00:13:26.100] 男：然后然后后面后面后面我。
[00:13:29.920] 男：我哥的就是我不知道为什么我我那个晚上那个晚上酒量这么小。
[00:13:36.080] 女：对呀，我。
[00:13:37.820] 女：人在伤心的时候，那个酒量是会变小的。
[00:13:41.056] 男：我没有伤心，我是很生气。
[00:13:43.260] 男：我觉得他这个角色太傻逼，他为什么要问我那样那两个问题。
[00:13:50.400] 男：很可能是因为他。
[00:13:51.607] 女：喜欢的人会想跟你有。
[00:13:53.800] 男：他没有尊重我啊，他没有告诉我。
[00:13:56.540] 男：他他出来是想聊聊事情的，我以为只是想陪他散心，结果他他他他把我去。
[00:14:04.960] 男：去把我就是去衡量我的价，也没有跟他在一起的价值。
[00:14:09.680] 男：有这种感觉在。
[00:14:11.480] 男：然后然后然然后我我就是这情况是我在，因为他生气。
[00:14:16.640] 男：然后然后他在后面有在有也有进行对我的进一步的冒充。
[00:14:21.200] 男：然后然后结果结果因为我因为他把自己灌了个烂醉。
[00:14:26.460] 男：然后然后然后他虽然可能在我睡了睡了不停的说的说亲你。
[00:14:45.940] 男：你知道有一个很就是为什么说他危险吗？
[00:14:50.560] 男：就是在前一天晚上呢哭那天晚上。
[00:14:53.420] 男：呃，我跟他说了我的一些经历，就是就是意思是我真遇到过很坏的人。
[00:14:59.020] 男：然后然后他跟我，他他就在那边哭，说为什么你碰到那么那么坏的事情，然后为什么在身边？
[00:15:06.200] 男：然后然后然后然后然后就是就是就是。
[00:15:13.820] 男：五号麻辣烫，许安。
[00:15:16.740] 男：然后呢，就特别特别生气。
[00:15:20.780] 男：好，还有还有什么？
[00:15:46.660] 男：没有。
[00:15:47.700] 男：然后就因为。
[00:15:51.620] 男：因为现在就是一段时间相处嘛，就是也有好感。
[00:15:55.960] 男：然后然后那天，然后他然后然后我就跟他。
[00:16:01.700] 男：跟呃意思是应该就是我们应该不会结束恋爱关系什么的。
[00:16:06.635] 男：然后那天晚上我看他哭的特别惨，然后当时又有某种好感吧，我就问我就问什么能不能听他什么？
[00:16:16.160] 男：然后然后当时当时只是说只是说象征性的亲了一下脸，就是作为某种就是我表示我在啊这样的。
[00:16:23.180] 男：然后然后后来。
[00:16:24.300] 女：没有带有那种。
[00:16:25.880] 女：呃。
[00:16:27.140] 男：不算是就是就是。
[00:16:31.300] 男：嗯，也也有，但是也但是但是在当时不是很合适吧。
[00:16:37.560] 男：因为因为彼此之间他他没有他没有他没有完全的接受我说的情况，所以你要做进一步的行为的话，其实挺不负责的。
[00:16:48.880] 男：然后然后他也跟我说，就后来他是有点心虚了吧。
[00:16:51.940] 男：这个时候我也想亲，我也想亲你，但是我不能这样做。
[00:16:55.154] 男：因为因为这样子的话，我们之间的关系就会变得更加没有办法确定了。
[00:16:59.592] 女：紧一点不停下，后面后面一点怎么就变了想法。
[00:17:02.860] 男：你听我说完这样子的话，我们关系基本没有办法确定了。
[00:17:07.040] 男：因为因为对于他来说，他是那种比较传统的人，肯定是要啊确定恋爱关系之后再做这种事。
[00:17:12.900] 男：然后他就不能去。
[00:17:14.480] 男：然后然后后来我们骑电车回家，他也说我想骑。
[00:17:17.603] 男：我说那你那你现在就可以亲啊，因为我跟他说，你想亲我是可以的，没关系啊。
[00:17:23.560] 男：然后然后他就说啊制服的。
[00:17:26.240] 男：观念就是我之前跟他讲过我对小三的看法，小三啊我不认我不喜欢小三就是。
[00:17:35.880] 男：因为我感觉像有点像是婚姻吧，两个人束缚住。
[00:17:40.860] 男：先不管先不管这个，我我就想到我比较好奇。
[00:17:44.172] 女：这一下找来看吧。
[00:17:45.700] 男：我我忘记我是怎么说的了。
[00:17:47.700] 男：张艺兴，记得我是我，我只是我，我只是通过他的转述。
[00:17:51.880] 男：哦，原来我想的这个，但具体我怎么说的，我也我我也忘了。
[00:17:56.740] 男：我就是想到我我对一些很诉说的东西我不是很喜欢。
[00:18:00.180] 男：然后他当时估计就是想起我那个话，那个时候他的意思就是说我太好听，但是过于那些诉说的东西我不能。
[00:18:08.240] 男：然后。
[00:18:09.500] 男：这保证就只是前一天晚上的事。
[00:18:14.420] 男：第二天晚上，他他他看我就就是。
[00:18:17.880] 男：就是前前面我我应该说了至少二十多次，你不要碰我，然后你走开，你这样压在我身上怎么样的？
[00:18:24.720] 男：然后然后然后在我喝醉了之后，他一直就是想把我往他身上拉。
[00:18:31.300] 男：然后然后就是。
[00:18:33.100] 男：我说，我不用你扶，我可以自己走。
[00:18:36.080] 男：然后他反正他后来就是要走要回学校的时候，他就让我坐在椅子上。
[00:18:40.756] 男：然后当时我应该我已经洗了，我就整整个人就只能附在他身上这样子。
[00:18:45.820] 男：在那种情况下，我还在拒绝他的时候，他说突然就突然间说想亲你了。
[00:18:51.320] 男：然后我我很多次的摇头或者说不可以，还有什么我在生气，我我今晚不想这么做。
[00:18:58.500] 男：他说，我突然给过你机会了，你自己不要。
[00:19:01.580] 男：你要让他还是不断的去跟我提这个提提这个请求吧。
[00:19:06.280] 男：然后然后我就跟他说，我觉得你没有你没有把事情给想清楚。
[00:19:12.020] 男：可以。
[00:19:13.440] 男：所以所以我觉得现在这么做不合适。
[00:19:16.900] 男：呃，还有就是你你你有没有考虑过这么做会有什么后果？
[00:19:22.180] 女：那他怎么回答你的？
[00:19:23.720] 男：他说他考虑清楚了，他说，我只是想在当下这样陪着你。
[00:19:31.340] 女：不是想白嫖吗？
[00:19:35.780] 男：他他是那个时候我。
[00:19:39.100] 男：我我在身体上是真的没有什么那个行为能力了。
[00:19:43.340] 男：然后他就问我，你会不会觉得我这样做有点像被你顺势而入？
[00:19:49.200] 男：能说吗？
[00:19:50.420] 男：他前一天晚上跟我说。
[00:19:52.980] 男：如果我们不能走到一起的话，我们现在做这种呃什么抱抱啊，什么摸摸摸头啊，这种会不会有点像在占便宜？
[00:20:00.813] 男：我说我觉得没有。
[00:20:03.260] 男：那个我自己觉得这个觉得还好。
[00:20:07.820] 男：然后然后然后在在我不清醒的时候，他很清醒的时候，他他问他真问我有没有觉得这样会不会有点趁虚而入，我说我们不知道啊。
[00:20:17.560] 男：然后然后然后在我然后然后然后后来他就他就已经有点把把嘴贴贴上来。
[00:20:24.800] 女：你从始至终都在拒绝他是吗？
[00:20:27.117] 男：从始至终都都在拒绝他。
[00:20:29.048] 男：我现在在前面，我我清醒了，而且我醉了之后，我都会叫他不要靠近我。
[00:20:34.456] 女：那最后他亲亲你之前，你有同意他这个行。
[00:20:38.420] 男：他他的软磨硬泡啊。
[00:20:40.640] 女：那最后同意了。
[00:20:41.918] 男：那我同意了，你知道他说啥吗？
[00:20:44.474] 男：他说。
[00:20:45.080] 男：孟老师，因为我喜欢你，所以我对你是有欲望的，但是我不会做你不愿意的事情。
[00:20:50.380] 男：然后他他最后就站在我前面说，我我真的很想认真的再亲一次，你可以吗？
[00:20:56.500] 男：然后我当时。
[00:20:58.540] 男：你不能以我当时的最后一次的同意作为这个，我懂我懂我懂，对吧？
[00:21:05.040] 男：然后我当时就是。
[00:21:06.780] 男：坐在这里。
[00:21:07.960] 男：我的头是抬不起来的，就是低下去的。
[00:21:10.791] 女：你已经醉的不省人事了。
[00:21:12.678] 男：醉得不省人事了。
[00:21:14.700] 男：我只是我只是在意识上，我我清楚的知道我我不想做这个事情，然后他居然把我拉起来，让我站着跟他亲。
[00:21:24.460] 女：很诡异啊兄弟，这真的很诡异啊。
[00:21:38.380] 女：他会不会是前一天晚上？
[00:21:41.400] 男：在镜头上呢？
[00:21:43.520] 女：我在想。
[00:21:44.760] 女：你的恋爱观跟他的恋爱观是哪一方面的不一样？
[00:21:49.020] 男：它是那种传统的。
[00:21:54.300] 女：你是觉得事情我们没有。
[00:21:56.206] 男：对这方面进行过很严肃的讨论。
[00:21:58.684] 女：那你是哪方面的不同？
[00:22:04.020] 男：跟你说个事。
[00:22:04.910] 女：你不要跟刘玉。
[00:22:08.220] 男：呃，就是你你从这件事情其实就能看出来，我我的一些伦理观念和。
[00:22:14.420] 男：主流的事情不一样。
[00:22:17.020] 男：呃，就是就是就是在佛山的事情之后，我我被。
[00:22:20.940] 男：我去哈尔滨，其实被我们的一个共有。
[00:22:23.860] 男：房间了。
[00:22:27.960] 女：你和谁的同？
[00:22:34.900] 男：反正挺复杂的，然后然后我不认识那个人吧。
[00:22:39.007] 女：你不认识。
[00:22:40.060] 男：你曾讲过。
[00:22:41.620] 男：你很认。
[00:22:43.540] 男：跟小鱼认识。
[00:22:46.500] 男：对身体上的任何。
[00:22:49.580] 男：四川内部挺多人都认识的。
[00:22:52.640] 女：不是我们学校的吧。
[00:22:55.200] 男：然后然后然后在那个时候就是有一个就是就是就是那个人他他的一个朋友。
[00:23:05.760] 男：就是就是就是就是就是那个人的出现支撑我走过走过了走过了一段。
[00:23:10.365] 女：然后他反手过来，自己又干这种事情。
[00:23:12.747] 男：不是不是不是。
[00:23:14.960] 男：就是就是那个事情结束之后，我和那个朋友建立了某种亲密关系。
[00:23:21.020] 男：但是又不能算是男女朋友的那种，请你管。
[00:23:24.240] 女：包括但不限于。
[00:23:27.480] 女：包括在我们的。
[00:23:30.560] 男：就比如说我们电影很亲密的接触啊，牵手。
[00:23:33.960] 男：不知道。
[00:23:35.000] 男：接吻会啊。
[00:23:36.940] 女：是你跟何川的共同朋友。
[00:23:38.684] 男：共同好友？
[00:23:39.382] 男：不是，就是后来后来后来的那个朋友。
[00:23:43.680] 男：就是这是因为因为因为因为因为这件事情之后，我我的状态特别特别差。
[00:23:49.400] 男：然后然后在那个时候，他他他他做了一个非常稳定的一个忙。
[00:23:54.300] 男：然后然后这个人他是谁，我真有点我不认识，就是就是合川的那个共有的一个朋友。
[00:24:00.740] 女：共有的一个朋友。
[00:24:02.420] 男：哦，那个那个工友是那个强奸犯。
[00:24:05.720] 男：然后然后他当时照顾照顾不了我，把那个人叫来照顾我了，然后正好这个人是一个是个好人。
[00:24:13.460] 男：啊，还有点有点乱。
[00:24:15.126] 女：我我我能能。
[00:24:16.316] 男：办得到了，反反正意思就是反正意思就是呃。
[00:24:20.740] 男：我我在我考我考虑跟段老师那边进入恋爱关系的最主要的顾虑是我已经有一个亲密的对象了。
[00:24:28.300] 女：你现在的那个人也保持这种关系。
[00:24:31.026] 男：对，而且他知情且同意。
[00:24:33.120] 女：他知情且同意你跟赵老师。
[00:24:35.340] 男：对吗？
[00:24:36.500] 男：对。
[00:24:38.020] 女：为啥呀？
[00:24:39.680] 男：因为我们之间不是不断的关系啊。
[00:24:42.820] 男：不是什么恶的关系，不是独占的关系啊，我们是一V一。
[00:24:46.374] 女：不是一V一啊，那他也有其他的没有啊。
[00:24:50.620] 男：就是他不否认，他可能会有。
[00:24:54.100] 男：但是但是目前目前来说确确实就是我我们你。
[00:24:57.661] 女：确实跟主流。
[00:24:58.598] 男：的这个不一样，懂吗？
[00:25:00.097] 男：我懂了。
[00:25:01.900] 女：那你这样的话就是。
[00:25:04.340] 女：那这样的话，其实我觉得按照就爱他的性格，他肯定会问你我要选一叫你选。
[00:25:10.380] 男：对啊，所以他崩塌崩溃了呗。
[00:25:17.800] 男：而且他肯定是那种很传统的，将来要就工作结婚生子的人。
[00:25:23.100] 男：你也看得出来，我不可能去结婚生死的吧。
[00:25:26.393] 男：对我不是个我的朋友，都看得出来，我不会吧。
[00:25:33.700] 女：那你现在是。
[00:25:35.520] 女：怎么打算？
[00:25:39.020] 男：昨天当夜深，这个行为很危险啊。
[00:25:42.760] 男：他在应该遵守边界的时候。
[00:25:45.540] 男：他选择了遵循自己的欲望。
[00:25:48.960] 男：而且他知道我他他知道我经历的事情，而且在前一天晚上就说过了。
[00:25:54.440] 男：我说我被那个人。
[00:25:56.420] 男：在醉酒的时候实行了性行为，他居然在第二天晚上，在我醉酒的时候问你可不可以亲我。
[00:26:04.880] 男：你能明白这这里面多恐怖。
[00:26:09.480] 男：你看他是不是跟我晚上给我写小作文道歉，说为什么为什么今天晚上会亲你。
[00:26:15.340] 女：因为是为什么？
[00:26:16.920] 男：前一天晚上，他他说我，我问他要就是退亲的时候，他那个时候不清醒。
[00:26:22.880] 男：我我清醒他不清醒的时候，他不愿意亲我。
[00:26:26.960] 男：因为他觉得这样自己他他不知道自己想要什么。
[00:26:30.620] 男：在我极度不清醒，没有办法，没有没有行为能力的情况下，他清醒他觉得他清醒的时候，他知道自己在做什么。
[00:26:39.920] 女：他没有然后他如果。
[00:26:41.328] 男：之后有什么后果，他可以去承担。
[00:26:43.616] 女：他没有把你当成一个主体去看待。
[00:26:46.560] 男：他只是把我当做了一个得到的东西。
[00:26:51.800] 女：以前一天的话，你们两个是处于一种，就是没有想好你们两个以后是走向什么样的方向。
[00:26:58.954] 女：会不会是因为后面一天他已经想好了，你们之后要以什么样的角度去相处。
[00:27:05.114] 女：所以他觉得他可以去承担这个责任，可以开启这段关系和财产情。
[00:27:12.100] 男：从从事情本身去看。
[00:27:15.400] 男：你身边有一个因为你因为因为因为你惹了他而生气，喝的烂醉的女性朋友。
[00:27:24.040] 男：就从这光从这个事情本身去看。
[00:27:27.880] 男：他就是错。
[00:27:31.660] 男：我要我有录音啊，我是我要讲的话，我是不是可以去法院告他强奸啊？
[00:27:39.520] 男：就是这个事情，他在法律上就已经是很严重了。
[00:27:44.240] 男：你不能因为所谓的。
[00:27:49.520] 男：什么我想通过亲吻去跟我们的关系这么去看他应该是这句话本身。
[00:27:54.632] 女：就很没有逻辑。
[00:27:55.728] 男：应该是发生在两个人都清醒的情况下去去谈的。
[00:28:01.280] 女：懂你。
[00:28:02.500] 男：我我本来我本来觉得就是就是我们之间那种那种那种那种价值观上面的差异的，都是可以找办法就是去怎么怎么样。
[00:28:12.220] 男：然后我们可以去商讨想要以什么样的形式去相处。
[00:28:16.160] 男：然后然后他突然间搞了搞搞了这么一出，让让我对他的所有形象已经彻底失信了。
[00:28:26.820] 女：他这个可能会让你觉得他们那几个人没有。
[00:28:30.420] 男：他没有考虑到这一点。
[00:28:33.320] 男：在他小作文里面还有到他后面的关心。
[00:28:36.183] 男：从来没有考虑过我是否会因为他的这个行为得到什么样的伤害，或者说他当时那个行为是不是妥。
[00:28:43.820] 男：他考虑的只有我让你难过了，对不起，我愿意承担你不理我的后果。
[00:28:49.820] 女：并没有认识到自己的错。
[00:28:52.300] 男：他所认为的后果就只有我不理他，然后我可能会拒绝跟他进入进入恋爱关系，而不是他就是不应该说我醉的烂喝的烂醉的时候。
[00:29:02.020] 男：听我。
[00:29:03.560] 男：他甚至他是他在那之后甚至想把我带去开房啊。
[00:29:08.660] 男：他问我，你还要不要回学校？
[00:29:11.540] 女：几点了？
[00:29:12.156] 男：那时候快11点了。
[00:29:14.300] 女：那你们从那里回学校要多久？
[00:29:16.527] 女：十多分钟。
[00:29:17.270] 男：我们他问了我两次，如果如果说我当时我当时没有表示拒绝的能力的话，你你信不信他只会直接带我去一个小宾馆？
[00:29:26.320] 男：我们快走到学校了，他还问我，你还要回学校吗？
[00:29:30.720] 男：然后他在小作文里面，首先是表示了自己。
[00:29:34.040] 男：自己为什么亲我？
[00:29:35.134] 男：然后然后再接下来一段就是表示对我有心理欲望，想要跟我做更亲密的事情。
[00:29:40.280] 男：那你干嘛？
[00:29:41.373] 男：你会你懂吗？
[00:29:42.920] 女：你好诡异啊。
[00:29:45.940] 女：只收了198。
[00:29:51.280] 男：那这个我没表表白没几天就问我要不要一起出去过夜。
[00:29:54.919] 女：这段时间他发信息，他说你们还在吃饭吗？
[00:29:57.610] 女：他看了一下门锁，应该是锁芯里面生锈了，会卡车还是能打开的那他现在已经把门打开了，他没锁。
[00:30:06.260] 男：我那条朋友圈说的就是他，我把他屏蔽了。
[00:30:10.180] 女：怪不得我说怎么有点怪怪的。
[00:30:14.320] 男：看一下。
[00:30:19.620] 男：这个。
[00:30:22.940] 女：怪不得我说怎么？
[00:30:24.560] 女：有点怪怪的，因为你这个不可能讲的是那个隔窗，隔窗都很久之前的事了，所以我讲的就是讲的大概率都是他。
[00:30:31.951] 女：但是我不知道你们俩之间发生了什么。
[00:30:39.620] 男：应该不知道应该怎么涂。
[00:30:43.440] 男：不知道应该怎么。
[00:30:44.680] 男：他是很清楚的知道自己这么做是不妥当的，但他还是做了但是他还是做了。
[00:30:50.460] 女：他知道有一种什么样的态度。
[00:30:52.490] 男：知道他知道我会他知道我会难过。
[00:30:55.840] 女：他到底公告有一个什么样的想法。
[00:30:58.539] 男：什么样的态度，他精神放脑。
[00:31:04.920] 男：这个事情但凡在他不知道我前两年连续被遭遭遇那种事情的情况下，他这么做的都很过分了。
[00:31:13.411] 男：更别说更别说他刚刚知道这个这些事情他还对我做了。
