[00:00:00.000] 男：那就是不限的哦，那错过了。
[00:06:35.545] 男：如果这门课在肇庆开了，你需要跨校区，那么你现在可以申请免听，就是重修免听。
[00:06:42.834] 男：但是如果你有三门，你还是只能在三门当中选两门。
[00:06:47.473] 女：对，然后然后我现在是想找教务那边申请，看看能不能我坐校巴回去上课。
[00:06:55.080] 女：就是就是因为我正好我查了一下课表啊，我周一没有课。
[00:06:59.711] 女：然后周一那边那边有个老师就是在那边上课，嗯嗯，然后我就正好可以坐校巴回去，要。
[00:07:06.758] 男：不然的话你你可以直接去问一下那边。
[00:07:10.420] 男：林晨老师。
[00:07:12.580] 男：或者你打教务处的电话。
[00:07:14.980] 女：教务处的电话。
[00:07:16.166] 男：爬山一家乡都可以到451。
[00:07:18.880] 女：好，谢谢。
[00:07:23.020] 女：哦，好好。
[00:07:29.920] 女：可以尝试。
[00:07:31.880] 女：嗯，我想问一。
[00:07:33.600] 女：去找一迪老师，你要找谁？
[00:07:36.208] 女：呃，老师好像说一迪老师我们嗯。
[00:07:39.800] 女：你要怎么了吗？
[00:07:41.205] 女：呃，就是我想申请去肇庆那边免提，因为我现在申请免提的已经超了两门了，然后我想线下上课。
[00:07:50.620] 女：就想找教务处那边申请这个情况。
[00:07:53.600] 女：你是哪一级啊？
[00:07:55.260] 女：呃，我是周一有课，然后我想二二几的，223你是要找我。
[00:08:02.980] 男：你找他干嘛？
[00:08:04.296] 男：刚。
[00:08:06.320] 女：你不是说。
[00:08:07.860] 女：到到。
[00:08:12.000] 女：508。
[00:08:12.750] 女：好，谢谢老师。
