[00:00:02.540] 女：最高的两个。
[00:13:13.480] 女：喜欢哪个年龄，考虑那个专业好不好就业啊。
[00:13:17.238] 男：他他理科，他在河南高考过的那个理科线二十的大学不吃好吧。
[00:13:22.667] 女：我觉得应该。
[00:13:23.711] 男：没他那个学校肯定没有。
[00:13:26.020] 女：真的好吃，是它有一下啊。
[00:13:30.920] 女：真的好。
[00:13:31.560] 女：他说他。
[00:13:34.420] 男：呃，月薪八千，然后还包吃住。
[00:13:37.600] 男：我真的觉得他们那。
[00:13:40.380] 男：文理就业环境。
[00:13:42.340] 男：特别好看。
[00:13:46.960] 男：他自己也考了证。
[00:13:49.180] 女：那我说他们应该怎么办啊？
[00:13:51.160] 男：对啊，我都不知道。
[00:13:52.420] 男：我哥跟我说，你找十级趁早。
[00:13:56.820] 女：完整的做好。
[00:14:00.420] 女：但确实没有几个人工作能力像环境那么强。
[00:14:03.560] 女：反正他打的会。
[00:14:08.460] 男：其实很多东西没想的那么难。
[00:14:11.180] 男：我我是属于那种我会的多，但是我不深，我什么都能做一点，推文推文海报这些也能做，但是。
[00:14:19.600] 女：带蒜头跟大家这么久。
[00:14:23.560] 女：学会了。
[00:14:25.520] 女：学会了。
[00:14:31.280] 女：也有同事同事在旁边有点。
[00:14:33.660] 女：不太想教你。
[00:14:39.300] 女：我不太想流浪。
[00:14:41.320] 女：对呀。
[00:14:42.540] 女：是。
[00:14:44.780] 男：我这些是大一的时候，在那个。
[00:14:48.240] 男：膳食管理委员会说。
[00:14:53.620] 女：我都转到了那部门。
[00:14:55.920] 女：因为因为推文的话，我们不是宣传部，我所以我们不负责做那个。
[00:15:01.560] 女：我们是只负责现场的秩序维护，然后还有浙江的表。
[00:15:06.220] 女：所以领导就把那些海报。
[00:15:11.360] 女：就是你真的做出来了。
[00:15:13.140] 女：我们可以。
[00:15:17.900] 女：对啊，他那些他那些。
[00:15:19.600] 女：海报受到了，好，真的很厉害。
[00:15:22.670] 女：他他他那个海报真的很牛。
[00:15:26.740] 女：好羡慕你们这种有一定的，没错。
[00:15:30.440] 女：今年很快你就你就要做了。
[00:15:33.720] 女：你可以教一下他。
[00:15:35.700] 女：看起来对。
[00:15:37.060] 女：子怡啊子琪子琪负责海报，他们在一间。
[00:15:46.040] 女：但是他们你有教子晴吗？
[00:15:48.072] 女：或者他有过来问你怎么做吗？
[00:15:50.510] 女：没有啊。
[00:15:52.020] 女：我自己都是半路子出身，我不知道你可以教他呀，他他还没有教你。
[00:15:57.920] 女：没有叫我。
[00:16:00.980] 女：我自己我自己不会很审美。
[00:16:04.600] 女：对啊，我觉得这个纯是靠个人审美。
[00:16:11.560] 女：我感觉我要对接。
[00:16:13.620] 女：我感觉我要我要对接喝。
[00:16:15.766] 男：你不知道啊。
[00:16:16.839] 女：那个那个天天写作，就是他。
[00:16:21.020] 女：之前之前高高校收费的，还不如说他做的比较好玩。
[00:16:26.380] 女：你可以做个正经，那你做个正经的。
[00:16:30.020] 女：高校是会的，被被被我翻了5针之后，他把那个拔掉了。
[00:16:44.200] 女：是专门买的。
[00:16:49.980] 女：我能做的也只有说。
[00:16:54.140] 女：让这个海报看着更顺眼。
[00:16:56.187] 男：因为写的他的名。
[00:16:57.940] 女：所以当然很。
[00:17:07.120] 女：毕业以后我们专门找他的。
[00:17:10.000] 女：怎么他他在他家装修好了。
[00:17:15.060] 女：哦，也就是我们下次去找他玩，可以住他家是吗？
[00:17:18.600] 男：我家对，我家。
[00:17:21.420] 女：拼装好了。
[00:17:23.100] 女：你的家。
[00:17:29.300] 女：会不会买一？
[00:17:30.940] 女：这房间太吗？
[00:17:36.120] 女：对不起。
[00:17:48.380] 女：你会看到我有一个。
[00:17:52.020] 女：敢坐吗？
[00:17:52.821] 女：他说我敢开，我说敢不敢坐是你的。
[00:17:56.560] 男：我敢。
[00:17:57.094] 女：可是我敢开，我坐你的车会有保险吗？
[00:18:02.000] 男：你喝了酒还想要喝？
[00:18:04.620] 女：一年就好了。
[00:18:07.920] 女：我要接一杯水。
[00:18:11.700] 男：对，我们两个一起可以开高速，我已经满三年了。
[00:18:24.220] 女：到挑战最终。
[00:18:26.740] 男：我我科三挂过去。
[00:18:31.600] 女：一单到5。
[00:18:34.800] 女：呃，连带去。
[00:18:38.140] 男：我是属于那种很喜欢开。
[00:18:47.140] 男：所以最大的烦恼是现在没有车。
[00:18:53.640] 女：然后就倒饮料。
[00:19:09.800] 男：他刚才笑的跟马龙一样。
[00:19:12.364] 女：他在干嘛？
[00:19:13.390] 女：我猪蹄。
[00:19:14.680] 男：这喝的干嘛。
[00:19:15.910] 女：真的这么像。
[00:19:17.840] 男：因为因为黄浩平跟他说，我是给你投根香蕉，然后他就就转过来看着我。
[00:19:25.060] 男：钓的好抽象啊。
[00:19:26.358] 女：这么喜欢吃香蕉吗？
[00:19:28.090] 女：这条鱼。
[00:19:30.020] 女：我一直没人过来收啊。
[00:19:34.580] 女：这边已经。
[00:19:37.920] 女：你知道我这是什么水吗？
[00:19:40.360] 女：白水柠檬水。
[00:19:45.080] 女：包的呀，它只有柠檬味，喝起来都没有柠檬味，那就闻着有柠檬味，喝起来有啊。
[00:19:50.160] 女：你们的什么水，你分到最后淡了吧，应该是最后淡了吧。
[00:19:54.260] 女：这是甘蔗汁吗？
[00:19:55.780] 女：等着吧，等着等你。
[00:19:58.200] 女：二氧化碳。
[00:20:00.840] 女：为什么是黄绿色的？
[00:20:02.520] 男：这这感觉就很像香精饮料橙汁啊。
[00:20:05.404] 女：然后再加了橙汁，那个那个假肢香精成。
[00:20:09.160] 女：然后加了一。
[00:20:12.320] 女：你不要。
[00:20:16.820] 女：香蕉呢？
[00:20:19.020] 女：老师说他来了。
[00:20:21.260] 女：他来了。
[00:20:24.100] 女：不知道呀，他说2点40开会，他现在还在地铁上，他不会是赶过来开会，不是赶过来吃饭吧，他赶过来开会。
[00:20:31.620] 女：老师，你是赶过来开会，还是赶过来跟我们一起吃饭？
[00:20:35.037] 女：那我下午要开会啊。
[00:20:40.220] 男：回去回去，妈妈已经做好饭了。
[00:20:45.640] 女：我跟他说。
[00:20:52.540] 女：我昨天晚上连夜把我家的牛肉全部放到张倩的。
[00:20:58.520] 女：为什么喝了水？
[00:20:59.740] 女：为什么？
[00:21:00.393] 女：因为我爸妈不。
[00:21:01.860] 女：不要了。
[00:21:02.860] 女：不是不爱你。
[00:21:09.420] 女：现在国家不能吃牛肉。
[00:21:11.380] 女：就只是不想吃牛肉吧。
[00:21:13.125] 男：我我只知道清真跟伊斯兰是不吃。
[00:21:17.040] 男：好的，您听着不？
[00:21:19.220] 男：本来是不吃。
[00:21:20.280] 女：不知道也不。
[00:21:25.140] 女：嗯。
[00:21:26.320] 女：我不知道啊，是伊斯兰。
[00:21:34.140] 女：太博学了，老师。
[00:21:36.600] 女：这是基本常识。
[00:21:38.940] 男：我不吹牛。
[00:21:39.900] 女：你是理科真短。
[00:21:41.340] 女：我看他。
[00:21:42.360] 男：我是文科生，哎。
[00:21:43.312] 女：老师也不能说我是文科生，因为我高中选的是历史、化学、生物。
[00:21:49.920] 男：历史化学。
[00:21:50.883] 女：但我但我一生物就是偏文科，化学偏理科科生物生物偏文科，地理偏理科。
[00:21:58.108] 男：对，生物是生物。
[00:21:59.553] 女：是理科。
[00:22:00.275] 男：里的文科。
[00:22:01.239] 女：我们以前你们以前是以前我们跟文科生考的是历史政治和。
[00:22:08.200] 女：对啊，生物是理科。
[00:22:10.051] 男：但是他的磕性质生物化学。
[00:22:13.100] 女：我知道对啊，我们都知我知道生物怎么可能偏文科生，因为生物是需要背诵的对，生物都是我们我们老师要推算，我们老师也是这么说哎。
[00:22:25.020] 女：生物肯定是跟化学这类比较接近。
[00:22:27.916] 女：对啊，生物这个化学接近啊，就是会偏地理，肯定是文科。
[00:22:32.468] 女：地理地理很明显偏理科，因为还是要计算。
[00:22:35.986] 女：对啊。
[00:22:36.540] 女：计算中轴线是地地上温高线。
[00:22:39.694] 男：等高线。
[00:22:40.482] 女：对啊，这些生物生物在你背诵啊。
[00:22:44.040] 女：他看就好了，怎么就放屁。
[00:22:46.458] 女：我觉得我觉我我觉得生物好过学地理对生物容易很多，最烂，我生物好，我觉得最好。
[00:22:54.820] 女：啊，那那怪不得人家说看就能看得出来了。
[00:22:58.547] 女：你我靠牛啊牛啊，我我放弃了地理。
[00:23:01.616] 男：我选了二十多分的生物。
[00:23:03.809] 女：然后我靠背能能能能能看到。
[00:23:06.580] 女：因为跟我是跟。
[00:23:07.895] 男：我我最开始我最开始我想学中医，然后我选的全力。
[00:23:12.499] 男：然后我好兄弟跟我说，你选历史方向，然后选门生物就可以好。
[00:23:18.120] 男：就考中医了。
[00:23:19.078] 女：我这是他骗你的。
[00:23:20.560] 男：可以，我那年可以。
[00:23:23.780] 女：你那你你给我不同一年吗？
[00:23:25.731] 男：我物理二十多分，历史80分。
[00:23:28.260] 男：我要让我能选历史，我肯定选历史。
[00:23:33.840] 男：我我最后的分。
[00:23:35.076] 女：生物很简单。
[00:23:36.106] 男：我最后选的是历史的政治跟生物。
[00:23:38.990] 女：后来变难了。
[00:23:41.420] 女：电子生物难的就是那9331和遗传啊，其他都不难啊，不吃不吃不吃不用会。
[00:23:49.020] 女：对的，你只要你只要对着，基本上都都能拿到资本。
[00:23:53.779] 女：我感觉我。
[00:23:54.731] 男：到目前为止，地理科学学。
[00:23:57.110] 女：过最难的文科。
[00:23:58.538] 男：是那个政治里的那个。
[00:24:03.020] 女：对啊，我当时没选政治，我就是因为政治，我是因为我懒得背，所以不选政治。
[00:24:07.102] 女：生物的话是因为我理解了之后我就会背了。
[00:24:09.551] 男：你知道吗？
[00:24:10.095] 男：我在考虑。
[00:24:10.780] 男：那个逻辑与思维，他最后高考，我那我那一年他只考了六分。
[00:24:15.746] 男：他亲家的。
[00:24:16.574] 女：逻辑还是来看我是文综的话就是252，可能因为我看过课外书，那是包含在这个东西是多少？
[00:24:26.040] 女：你252。
[00:24:28.480] 女：哇塞，我主喝全烂。
[00:24:30.457] 女：原来你是学霸，怪不得。
[00:24:34.260] 女：我我语文是我刚刚跑去上的。
[00:24:36.640] 女：多少？
[00:24:38.740] 女：你们为什么这边呢？
[00:24:42.540] 男：我高考全靠历史和语文。
[00:24:47.700] 女：那么厉害啊。
[00:24:49.000] 女：我们那个年代的分数大。
[00:24:50.940] 女：也是120分吧。
[00:24:52.873] 男：大文大理。
[00:24:54.040] 女：哎，哦我们那年。
[00:24:55.572] 男：的那个文文综是不是就是地理、政治这些全部放在一张纸上？
[00:25:05.120] 女：哎，你是学霸不是学霸啊，我当时也是一个。
[00:25:09.240] 女：很长时间，新津大学都考不上。
[00:25:11.660] 女：连深圳大学都考试了，深圳没有，现在更厉害了。
[00:25:16.140] 女：深圳是这这深圳是前几年才被列为重本的那你当时考虑在哪里？
[00:25:22.185] 女：天津师范大学，深圳，然后保证到了。
[00:25:26.420] 男：对，一群学霸。
[00:25:27.841] 女：有了一个学渣的学生。
[00:25:31.960] 女：他保人。
[00:25:33.000] 女：为啥你们有保研，都不是一个学校也可以保研。
[00:25:39.440] 男：毕竟我们都是华商。
[00:25:41.165] 女：人从我们从上一季开始，中国开放了。
[00:25:44.560] 女：御道之间的互。
[00:25:48.740] 女：为什么我在华山？
[00:25:49.847] 女：比如说我入职的时候，我还不知道有。
[00:25:52.600] 女：啊，那那你怎么准备吧，有这些东西，你当时想要保本票也。
[00:25:59.460] 女：靠，我不需要大半年。
[00:26:01.880] 女：两本书。
[00:26:03.980] 女：八本书没读完。
[00:26:05.397] 男：两本我还想起来那时候。
[00:26:07.940] 男：那时候你给我们上了为数不多的两节课的时候，你是一个创意写作的研究生。
[00:26:14.980] 男：哦，那时候。
[00:26:17.340] 男：然后去问了一下啊，算了。
[00:26:20.440] 男：横横竖还是过不了一。
[00:26:26.320] 男：过来没血。
[00:26:31.860] 男：我高考数学比英语高。
[00:26:34.080] 男：到62。
[00:26:38.200] 女：别别看我了，我自己垃圾要走自己。
[00:26:41.100] 女：我一米89。
[00:26:42.540] 女：但我就差一门及格。
[00:26:44.078] 女：我们那一届的英语很难，但是我说但是我说起来很差呀。
[00:26:48.740] 女：他英语的。
[00:26:51.020] 女：150。
[00:26:53.120] 女：我靠。
[00:26:55.200] 女：你一上午你来发烧。
[00:26:57.084] 男：一盒饭拒绝很多。
[00:26:58.733] 女：有多烂？
[00:27:00.100] 女：不知道有没有。
[00:27:01.340] 男：我高考语文120 120。
[00:27:04.380] 男：20万。
[00:27:06.320] 男：我就靠语文跟历史把我抬进本科的。
[00:27:10.820] 女：我那次你知道多奇葩吗？
[00:27:12.853] 女：我历史我好像生物都比我历史高。
[00:27:15.840] 女：但是按正常来算的话，我的利息是会比天赋高的。
[00:27:20.040] 女：我我我觉得我来我我不分嘛，因为之前生物都很复杂啊。
[00:27:24.318] 女：对，因为之前生物很难，就平常那些模拟考的时候都是生物难，历史没有那么难。
[00:27:30.271] 女：然后考了正正式高考，所以你说的成绩也是。
[00:27:34.960] 女：三个主播是游戏。
[00:27:36.220] 男：对啊。
[00:27:36.580] 女：所以我就是因为我我就对历史是我就是因为这节课我才来的好像。
[00:27:41.940] 男：我数学是。
[00:27:44.000] 女：如果不是英语。
[00:27:45.315] 男：我操，真的。
[00:27:46.192] 女：我看各位都是偏科战神啊。
[00:27:48.603] 男：考验英语。
[00:27:54.360] 女：还是除了语文这个。
[00:27:56.080] 男：我我我那个那时候发的成绩单，他的总分是在最下面的。
[00:28:00.900] 男：啊，不是最最下面。
[00:28:02.335] 男：对，然后我看到我慢慢往下滑，我滑到英语一看六十2，我整个人都瘫在那里了。
[00:28:09.360] 女：好玩的，我就是。
[00:28:13.400] 女：但没想到自己考这么差吗？
[00:28:15.300] 女：知道我自己多少吗？
[00:28:17.460] 女：淋雨的一半。
[00:28:20.640] 女：然后我当时出成绩之后，我跟我爹两个人都蹲在门槛上，然后我直接在那边一一边抽烟，抽完了之后。
[00:28:27.300] 女：吐出去，然后就开始说。
[00:28:29.200] 女：他头探了一下，他先叹了一口气。
[00:28:31.158] 女：他说。
[00:28:31.600] 女：怎么会有人语文和历史，语文跟数学差了80分，你去考。
[00:28:36.900] 女：啊。
[00:28:39.140] 男：我是比我感觉我考砸了，那应该算是考砸吧。
[00:28:42.444] 女：因为因为正常水平的话，应该比我高考再多十分钟。
[00:28:47.560] 女：他一百多十分，他两分也。
[00:28:50.020] 男：也在华山，对我也比正常正常分高了。
[00:28:53.062] 男：可以在华山吗？
[00:28:54.280] 男：你经过我们的脸。
[00:28:56.280] 女：我知道二级，我靠你们那年数学模拟题。
[00:28:59.716] 男：快给我做做破损了。
[00:29:01.434] 女：他他们那年的学习巨难。
[00:29:03.582] 女：然后你知道这些网上都流传着一个关于你们二级的传说，第一个世界都挺。
[00:29:10.240] 男：有感的我。
[00:29:11.360] 女：二级的第一个传说体现在高考数学特别难，但是有的还能考上学，考上很好的大学。
[00:29:17.939] 女：第二个传奇体现在他们二级的考研，也就是今年二六考研，有有一个学校是山东的一个学校400。
[00:29:25.820] 女：420多还是405，排名145。
[00:29:30.900] 女：有那个震撼感吗？
[00:29:33.840] 女：不是中文，对吧？
[00:29:34.824] 女：我不知道。
[00:29:35.720] 女：反正就是他们说当年那批当年那批不服的人。
[00:29:40.060] 女：来来来，考研，这也较劲了。
[00:29:48.800] 女：其学生宁愿拿分数给。
[00:29:52.360] 女：但是说给少一个要看，主要是看排名。
[00:29:56.000] 女：是，但是他们觉得在这个学校里面，他至少过了国家线。
[00:30:00.221] 女：可是有的学校他就卡很多，比如那些头部的穴道。
[00:30:04.580] 女：他们的时间去的很难。
[00:30:06.580] 女：我的卡的很严。
[00:30:08.100] 女：他的分数就。
[00:30:09.820] 女：现在在国外并不大了。
[00:30:13.000] 女：堕落。
[00:30:16.360] 女：没说吗？
[00:30:17.160] 女：这种过过二次。
[00:30:19.780] 女：那还是要。
[00:30:21.780] 女：地还是。
[00:30:23.380] 女：他想要跑到大保一年。
[00:30:25.440] 女：因为他可以跑那种难。
[00:30:29.200] 女：你有那个点赞吗？
[00:30:31.920] 女：只能找那个女。
[00:30:33.180] 女：横条动都很。
[00:30:36.400] 男：考公上岸率高吗？
[00:30:39.300] 男：有多少？
[00:30:43.820] 女：Ok老师的表情。
[00:30:45.100] 女：对吧？
[00:30:46.600] 女：嗯，你在干嘛？
[00:30:48.060] 女：考考老师比较多，不去吃饭啊。
[00:30:50.300] 女：考编我不是考编，就他们也不用考啊，那我们就定这个例子。
[00:30:56.120] 男：但是我感觉资历早晚就要被取代，我觉得十年就能看到。
[00:31:06.000] 女：所以学校了，你就去做驾照啊。
[00:31:10.580] 男：老公吧。
[00:31:11.222] 女：不是看你姐做这个专业真的很难就业吗？
[00:31:15.940] 男：大学老师。
[00:31:18.240] 女：因为我在网上查了很多次，他们都说这个专业很难就业。
[00:31:22.424] 男：搞得我都不敢考。
[00:31:23.698] 男：不是说现在很多文科大学。
[00:31:25.840] 男：开始重视创意写作这个课程了。
[00:31:28.499] 女：看你的游戏策划本，按月月薪8000支付。
[00:31:31.772] 女：他的趋势是月。
[00:31:33.780] 女：但是如果你要对于互联网，对于这种。
[00:31:37.000] 女：卞端的。
[00:31:47.620] 女：不太懂，你读归读，可是你。
[00:31:50.360] 女：我要，但是我在不能全靠专业里的东西。
[00:31:54.080] 女：去指引你，去。
[00:31:56.480] 女：我真的了解其他东西，你在读在读期间立刻就要。
[00:31:59.680] 女：因为你现在是一个硕士的在读生，因为你大概考上一个专职的，好像还好的。
[00:32:04.640] 女：对的，你要借这个身份赶紧去。
[00:32:08.340] 女：如果你要好就业。
[00:32:10.080] 女：就在硕士的那个时候就去实习。
[00:32:12.838] 女：嗯，那那他硕士的时候不是会课很多吗？
[00:32:16.234] 女：不会啊，课很多人。
[00:32:21.620] 女：考研成功的几率大吗？
[00:32:24.640] 女：考研考研成功的几率大吗？
[00:32:27.133] 女：肯定是不越越来越肯定是不大呀。
[00:32:30.306] 女：但是。
[00:32:31.040] 女：想考这个好是吧？
[00:32:32.510] 女：但是我觉得还是可以。
[00:32:35.000] 女：老师，你觉得我适合考研？
[00:32:41.020] 女：沉默了。
[00:32:46.500] 女：但我感觉你是一种人。
[00:32:49.660] 女：我是觉得它更适合质感。
[00:32:53.280] 女：我是我觉得他比较涉及，就说。
[00:32:56.920] 女：做什么呢？
[00:33:02.260] 男：下一年就是我爱国的。
[00:33:04.760] 男：我们这个共同家。
[00:33:10.060] 女：你到庭。
[00:33:11.380] 女：一般。
[00:33:14.700] 女：呃，有一个高一点的学历。
[00:33:18.880] 女：你选人有追求。
[00:33:21.280] 女：有一点吧嗯他要做什。
[00:33:23.680] 女：就是在就业上，学历不是那么重要的，他有点有点重要，但是不是那么重要。
[00:33:30.020] 女：我就想继续写东西啊。
[00:33:32.280] 女：如果你认定了创作是你一生的长期的事业的话，你不妨往。
[00:33:38.420] 男：继续煮。
[00:33:39.560] 女：然后呢，我今天。
[00:33:44.500] 男：也不能寄到他们那个。
[00:33:46.881] 女：到这边去。
[00:33:48.400] 女：对我感觉你比较适合做编剧。
[00:33:51.600] 女：他们我可能也这样说啊，他们。
[00:33:55.040] 女：他怕到时候把那个书推在他身上，小说写的也是很一般了。
