[00:00:00.080] 男：Ok. 
[00:22:21.120] 男：那你。
[00:22:22.220] 男：明确向他表态，是他让你不高兴了，他陪你，他妈就应该消失了。
[00:22:26.944] 男：这个时候。
[00:22:29.860] 男：在你喝醉之前。
[00:22:32.980] 女：那个时候我都跟他说。
[00:22:34.920] 女：我不要，我还在，剩下的就。
[00:22:38.260] 男：对呀，你要要么我就要。
[00:22:40.207] 女：要么我就推开他，要么就是不要。
[00:22:45.540] 女：那我这个你还。
[00:22:48.420] 男：还有好几次了啊。
[00:22:51.620] 女：那他关键是去拿那个。
[00:22:56.480] 女：他说，我考虑清楚了。
[00:22:58.940] 男：你说他没有考虑清楚，他说他考虑清楚了。
[00:23:04.040] 女：这里我我我的意思是他没有考虑清楚他他他这么做我的意就是意思是他现在是处于一个很冲动的状态，他没有放到整个。
[00:23:15.700] 女：就是就就是整个关系啊，还有一些后果啊，就看。
[00:23:21.380] 女：因为因为你想一想，他昨天才说才说那么多东西，他没有办法接受。
[00:23:26.340] 男：今天晚上就要陪你呢。
[00:23:28.500] 女：对啊，他他他他说等到我也想听你，因为他他等到所有事情都讲完之后，就是不能让这个让我们的关系因为这个行为变得太暧昧了，不明确，然后等到结束之后再说。
[00:23:41.450] 女：然后今天突然间来了，就是一直在说这个，我就跟他说你你其实并没有很很想清楚自己自己就是你要什么。
[00:23:49.954] 女：对啊，类似这种感觉吧。
[00:23:51.694] 女：然后所以我觉得不能不能这么做，这个不是我愿不愿意。
[00:23:56.380] 男：对呀。
[00:24:01.280] 女：然后。
[00:24:03.200] 女：嗯，对，嗯，最主要的就是这些吧。
[00:24:06.760] 女：然后然后然后就是这种这种顾虑啊，我我做了一个三三条吧嗯。
[00:24:14.080] 女：然后然后最后他就说因为呃莫老师我喜欢你，所以我对你是有欲望的。
[00:24:19.525] 女：但是我肯定不会说你。
[00:24:21.215] 男：不愿意就不是。
[00:24:22.342] 男：然然后呢有欲望之后呢。
[00:24:26.120] 女：但是我肯定不会做你不想做的事情。
[00:24:30.100] 男：你都做过了，你在这边扯什么犊子呢？
[00:24:34.320] 女：哦，他他那时都还没做啊。
[00:24:36.686] 男：他就。
[00:24:37.160] 女：停下来了，然后就这么跟我说，就表示尊重嘛。
[00:24:42.780] 女：结果这个好像就哭起来了吧。
[00:24:45.447] 男：他哭是也不是哭。
[00:24:47.003] 女：就是就这样，就是开始开始走，开始偷偷。
[00:24:50.700] 女：然后然后他就说怎么哭了怎么哭了，然后他又想听。
[00:24:55.160] 男：你哭了，他想亲。
[00:24:57.740] 女：哦，他是又想听了，好像是这样子。
[00:25:00.768] 男：又想听了。
[00:25:02.100] 女：嗯。
[00:25:08.200] 女：然后然后然后他估计就就看我在那哇哇，然后他就靠近我，然后就。
[00:25:14.740] 女：嗯，你好像改变了好几次位置吧，你就有有正面的，然后有倒着的，嗯，然后那种从后面那个头能靠在我肩膀上，还要借着我脖子吧。
[00:25:28.020] 女：或者让我靠靠腿上了，就各种，然后然后后面应该就是我应该都仰着头在那干。
[00:25:34.480] 女：瑶瑶，他他他就他就用嘴唇碰了一下。
[00:25:38.000] 男：不是我真可以说他就趁你亏，占你便宜，这真的这这没没得跑。
[00:25:44.260] 男：6、没得跑。
[00:25:46.280] 女：我当时我那时候都都已经这么准备，他会响应感觉。
[00:25:50.800] 女：你这当时当时是干嘛的？
[00:25:52.733] 男：你们不在这样的事情上做好准备。
[00:25:58.420] 男：有点是我感觉。
[00:25:59.701] 女：他会他会这么做。
[00:26:01.197] 男：有点心有很容易这么。
[00:26:06.380] 男：隔离上个拖把，等一下。
[00:26:09.320] 女：好。
[00:26:21.860] 女：Hello. 
[00:26:24.940] 女：Hello hello. 
[00:26:31.320] 女：Hello hello hello. 
[00:26:39.600] 女：Hello hello hello. 
[00:26:41.700] 男：大哥，我回来了。
[00:26:45.420] 男：你这样说呢？
[00:26:47.960] 女：他然后然后我就我就有一种有一种预感，他他他有可能会就直接直接上了，就是他的行为我没有办法控制。
[00:26:58.020] 女：然后没有想到就是我我以为他在我做过之后，然后就直接上了，然后就像合唱。
[00:27:04.437] 男：那样子啊啊。
[00:27:06.800] 女：有可能是因为这个，我我有我有相关的经验吧。
[00:27:11.180] 女：我感觉那个场景比较熟悉。
[00:27:15.680] 女：然后然后他他应该就又磨了一阵子，然后最后他就他就站起了。
[00:27:20.685] 女：然后然后他把我的下巴，这是我当时应该坐着要耷拉着头，他就用那个手。
[00:27:26.600] 女：放到放到我下吧，他们想把我勾上。
[00:27:29.680] 女：为啥呀？
[00:27:30.427] 女：但应该应该是站着的吧。
[00:27:35.420] 女：然后我们是对面对面的，只是我的头是搭着的。
[00:27:39.200] 女：然后然后他就我想认真的再亲你一次可以吗？
[00:27:43.160] 男：什么鬼东西？
[00:27:46.140] 女：然后又又说了个。
[00:27:49.620] 女：然后然后我我我就嗯了一下。
[00:27:52.780] 女：然后然后他就把我他就把我拉起来，然后我让我站着。
[00:27:57.518] 男：那你站着。
[00:27:59.080] 女：嗯，然后然后让我的头就抬着，然后我就踮着脚。
[00:28:07.100] 女：然后然后然后突然听到我我我感觉好像抱着他。
[00:28:10.820] 女：他的手在抖吧，可能是因为没有什么力气嗯。
[00:28:15.920] 女：然后他就问了我好几次，你是不是很害怕，然后他就继续了。
[00:28:19.880] 男：他在干嘛呢？
[00:28:22.480] 女：暂时没有停。
[00:28:29.580] 男：不是，咱就是说你那种状态之下。
[00:28:34.400] 男：我我我我我。
[00:28:36.140] 男：说说他妈过分一点，那不就任人摆布吗？
[00:28:41.820] 男：嗯，对吧？
[00:28:45.180] 男：那怪不得他对你起性欲呢。
[00:28:49.860] 男：哦。
[00:28:51.160] 男：不能怪你啊。
[00:28:54.700] 女：然后这个时候可以。
[00:28:56.620] 男：摸一摸吗啊？
[00:28:58.340] 女：然后然后他就问，他就说我我说我怎么还是不知道？
[00:29:01.754] 女：就是在我说不知道的时候，他就说如果你不舒服了就跟我说，意思就是他会继续往下做，直到我说听。
[00:29:09.800] 男：对他不他就是我靠我靠，他趁你最他妈他性骚扰你啊。
[00:29:21.980] 男：我可以说的再严重一点儿。
[00:29:27.080] 男：嗯，我可以说的再严重一点呀。
[00:29:30.760] 男：嗯，听他耳朵，你妈算听到了。
[00:29:37.620] 女：然后他就他就拉着我，后来就拉着我坐下来。
[00:29:41.560] 女：你要把我的左那个左腿搭在他的腿上。
[00:29:46.380] 男：什么东西？
[00:29:49.320] 男：不是你那时候不是他他他让你干啥你就干啥了吗？
[00:29:53.331] 男：不是不是不是不是不是不是他他去他去控制你多少，你就做啥了吗？
[00:29:59.000] 女：行。
[00:30:00.440] 女：我那个时候甚至有一种想法，就是他接下来有可能会把他扣子给脱掉。
[00:30:07.300] 男：嘿会。
[00:30:09.460] 男：你俩要是不在外面的话，那真有可能会。
[00:30:16.780] 女：然后然后他就问你还要你还要你还要吗？
[00:30:20.325] 女：然后这个。
[00:30:22.080] 女：然后然后这个平台里是。
[00:30:24.680] 女：清楚一点了吗？
[00:30:26.066] 女：我昨天怎么画呀，什么东西。
[00:30:28.607] 男：他问啥？
[00:30:30.580] 女：他问你还要吗？
[00:30:32.500] 女：嗯。
[00:30:34.260] 女：没有这亲情让你清醒一点吧。
[00:30:36.500] 男：这个亲亲也让你清醒一点吧。
[00:30:39.560] 女：嗯。
[00:30:45.960] 男：你让我吃啥好呢？
[00:30:52.120] 女：为啥变成了为我服务的？
[00:30:56.440] 男：不是他的说辞。
[00:30:59.380] 男：他不经常有这样的说法吗？
[00:31:04.040] 女：嗯。
[00:31:04.620] 男：太阳了。
[00:31:07.260] 男：变成变变成被你做了。
[00:31:11.820] 男：为了让他自己显得，对吧？
[00:31:16.460] 男：不不不，不存在一些道德争议。
[00:31:24.360] 女：然后结束之后吧，然后我。
[00:31:29.020] 女：我就没有什么力气了，我就趴整个人趴在那椅子上，他他在旁边。
[00:31:34.980] 女：然后他就问我，那我们还要回学校吗？
[00:31:37.780] 男：对吧你从前面你再补充补充补充你的状态之后，他为啥为啥会对你说，就是还有同学在笑吗？
[00:31:46.991] 男：这句话，他就显得非常合理了。
[00:31:52.160] 女：我就说会。
[00:31:53.260] 男：那你肯定好像跟我。
[00:31:55.600] 女：啊，他又问了一遍。
[00:31:57.720] 女：没有，就是我，我要回学校，他说是回学校嘛，我要回学校。
[00:32:02.900] 女：然后他然后他就说那我们走吧，我我感觉到有一点点。
[00:32:07.100] 女：你。
[00:32:08.460] 男：他肯定遗憾呀。
[00:32:12.080] 男：干脆做好脱裤子的准备了。
[00:32:18.060] 女：然后我们都到半路了。
[00:32:20.440] 女：然后就是我后来不是稍微清醒了一点嘛，嗯我我不是就问我们到哪了吗？
[00:32:26.174] 女：他说快到学校，很快了。
[00:32:27.895] 女：嗯，他说那我们还要继续回去吗？
[00:32:30.520] 男：啊。
[00:32:32.500] 女：就是快到学校了，他我就是还要我继续回去吗？
[00:32:38.680] 男：你但凡说一个你但凡说一个，你但凡没表态。
[00:32:43.820] 男：他都把你拉到拉到小旅社了。
[00:32:48.960] 男：真的。
[00:32:51.280] 男：特征的原因。
[00:32:56.080] 男：就是你妈的劝你意思不愿意了，然后想想哎。
[00:33:03.220] 男：再来硬的。
[00:33:09.440] 女：就是那一瞬间，我看到了我在宾馆上在床上被摆布的样子。
[00:33:14.209] 女：我马上就卧倒回。
[00:33:18.000] 男：就是就是哎。
[00:33:20.320] 男：你说你你上车的时候你都那么晕，你都那么晕乎，他要是真不带你回学校，那你有什么办法呢？
[00:33:30.360] 女：他就是就是他一直让我靠着吧，让我让我先抱着他，扶着他。
[00:33:36.560] 女：然后然后我的手，当然这都是他他在那摆。
[00:33:40.820] 女：就是。
[00:33:42.720] 女：对，就是搂着他搂着他脖子的那种。
[00:33:45.744] 女：然后他他就说这样会不会好一点，结果结果我的手刚被他摆上就又松开了。
[00:33:52.440] 男：往下滑，傻逼。
[00:33:54.820] 女：我靠。
[00:33:56.300] 男：这个时候。
[00:33:59.520] 男：分享之后，最好的是你俩打个车走。
[00:34:03.480] 女：我我跟他说了好几遍，我想打车走你。
[00:34:07.170] 男：今天打车都。
[00:34:09.500] 男：你得打车走才安全。
[00:34:12.480] 女：我跟他说了好多遍。
[00:34:14.500] 男：他妈的，他他带你上电瓶车，他就是想。
[00:34:19.080] 男：不带你会再叫，知道吧？
[00:34:22.860] 女：我跟他我跟他说了很多遍，我想打车走，就是在在在他把我拉到那个椅子之前，我就有说就是我我不想继续了，我想我想自己打车回去，他没有他没有对此表态，就是我我以为他他他他。
[00:34:38.820] 女：就是他至少会说一句，你你你这个状态打搜索不安全，但是他没有表态。
[00:34:44.780] 男：这样他跟你走就安全了。
[00:34:47.900] 女：没有他没有他他就没有对这个这句话表态。
[00:34:51.240] 男：他当听不见。
[00:34:53.820] 女：他听不见，对他当听不见。
[00:34:56.210] 男：他感觉打车都不是他想要的。
[00:34:59.820] 女：嗯，对，就是指定鬼啊。
[00:35:02.040] 男：他想骑电瓶车带你去小旅社，这是他想的。
[00:35:07.540] 男：你都不用，然后。
[00:35:10.320] 女：就是就是就是结束之后我不是趴在那儿，我就回学校了嘛。
[00:35:14.816] 女：嗯然后接下来我就站起来，我说我我想打车回去，嗯，他就没有理我。
[00:35:19.875] 女：然后我好像又说了一遍，我想打车回去嗯。
[00:35:23.280] 女：然后然后我就被他牵牵着上上车了。
[00:35:26.789] 男：靠，你看他，我觉得他的时候，他还想抓住机会。
[00:35:33.260] 男：非常让你打消打车走的这个念头。
[00:35:37.060] 男：他说，有机会带你不去学校了。
[00:35:40.360] 男：真的215。
[00:35:42.340] 女：走吧。
[00:35:45.680] 男：地上有个大蜘蛛在爬。
[00:35:48.280] 男：快给他摁。
[00:35:49.075] 女：他就是没有在担心我在打车走的安全问题。
[00:35:52.653] 女：我操。
[00:35:53.051] 男：那打车你第一反应不就是那那那我也打车走，我陪你走吧，对吧？
[00:35:58.920] 女：对呀。
[00:36:00.800] 男：那那那我那他肯定，那我要是个正常人，肯定不能让你自己打车回去呀。
[00:36:06.240] 男：那那那奇葩，你上了车之后，你你怎么下你都不知道。
[00:36:11.560] 女：那他前一晚那前一晚就是根本不是电瓶车的问题。
[00:36:15.495] 女：他前一晚还在说，因为他他当时也喝醉了，他有可能不能打车，让你撤回那个车。
[00:36:21.493] 男：不就扔那扔那边了吗？
[00:36:23.560] 女：所以那个时候我们是已经不好准备辆车留在这儿了。
[00:36:27.776] 女：对啊，对对，车完全车完全不是一个问题。
[00:36:30.842] 男：他不他不是因为担心电瓶车，他他就是担心他得不了手，他才他他才不。
[00:36:36.640] 男：他在拉你上他电瓶车的。
[00:36:40.860] 女：你然后然后然后在这种在这种在这事情之后，他马上他就只有马上说了那个生理欲望，我就。
[00:36:48.980] 男：他就是没带你上城，他急了。
[00:36:53.340] 男：他只要。
[00:36:57.320] 男：那太低了。
[00:37:02.780] 男：必要的。
[00:37:05.820] 男：英崇尚老啊。
[00:37:08.580] 男：我敢他送你回去之后，大大写完小作文，他整个人都是他妈的性欲上头的阶段。
[00:37:17.880] 男：都是新摄像头的一个状态。
[00:37:23.240] 男：我头也疼啊。
[00:37:26.840] 男：不是你你你哎你那个状态，你同伴最那么厉害。
[00:37:31.780] 男：你希望你骑电瓶车带他回去，你图啥？
[00:37:35.100] 男：你俩万一在路上，他从车上掉了，你你咋办？
[00:37:38.980] 男：都不知道你怎么想的。
[00:37:42.580] 男：Hello, 能听到吗？
[00:37:44.894] 男：嗯嗯。
[00:37:45.960] 女：抱抱的那怎么告诉你啊，你你说你报警我，不然容易滑倒。
[00:37:50.140] 女：真的还没掉啊。
[00:37:51.731] 女：对，就是你。
[00:37:52.791] 男：哎呦，我操，那以前我上高中，我我坐我妈的我上初中，我在妈电动车，早上困得很，那我头他他不都耷拉到那个。
[00:38:04.900] 男：座椅那个位置吗？
[00:38:06.522] 男：稍微不注意不就掉了吗？
[00:38:09.280] 女：我差不多就是那样子。
[00:38:11.585] 男：对啊，就是就是你你你你哎，你这一点都不为对方考虑。
[00:38:17.500] 男：哦。
[00:38:20.040] 男：你们。
[00:38:21.940] 男：你最那么厉害，你到时候你打个车，他把你扶上车，他坐前排，你俩直接直接回学校，完了之后他再把你扶下来，这不就ok了吗？
[00:38:35.240] 男：不过打车的话，那肯定会坐后排的这这这个这个这个这个淫虫。
[00:38:47.280] 男：我觉得就是就是你喝醉酒之后那种。
[00:38:51.200] 男：不省人事的状态让他。
[00:38:53.800] 男：提醒，抑郁了？
[00:38:57.860] 男：嗯，让他那种觉得可以胡作非为了。
[00:39:02.740] 女：他也不想想我为啥这个状态。
[00:39:04.928] 男：对呀，反正他就他就像那个巴甫洛夫的狗一样，听到有的时候他就流口水。
[00:39:11.300] 女：哎，他他觉得我喝酒可以，抽烟不可以，你以为我抽烟是清醒的？
[00:39:15.800] 男：越抽越清净啊，这个烟。
[00:39:20.000] 男：哎，你说的有道理，你的。
[00:39:22.080] 女：我看着都可有攻击性了，你知道吗？
[00:39:24.652] 女：他一直阻止我抽烟。
[00:39:26.123] 男：不是你抽烟不是越抽越越有劲儿吗？
[00:39:31.460] 男：我也不让你抽。
[00:39:33.680] 女：然后让我喝酒的时候，他就没有拒绝，他听到我喝酒，他马上带我去了。
[00:39:38.260] 男：马上干嘛？
[00:39:41.560] 女：我我我不是听到他那个问题之后，一直一直在忍处理嘛，很难受嗯。
[00:39:47.720] 女：然后他也不说话，我就说我要我要喝酒，他他也一句话没说。
[00:39:53.560] 男：就带我过去了，带你去干嘛？
[00:39:56.236] 男：带你去喝酒买酒。
[00:39:58.080] 男：我操你妈的逼。
[00:40:00.660] 男：我操你妈的逼。
[00:40:08.460] 女：因为因为那附近没有那个没有小卖部，我是希望他知道哪里有可以卖酒的地方，所以从公园到到那个小卖部那边也有差不多十分钟的路程。
[00:40:21.440] 女：然后然后买完之后，他说那我们还要回去吗？
[00:40:25.425] 男：我说要回，不是你你哎你现在你能猜到他他他想干啥了吗？
[00:40:33.320] 男：我昨天以为那酒是你自己点外卖拿的。
[00:40:37.380] 女：因为我是。
[00:40:39.340] 男：哦，他带你去买了酒，然后他看着你喝了酒。
[00:40:43.700] 女：对。
[00:40:44.900] 男：从你要买酒的时候，我觉得他就他就在。
[00:40:49.060] 男：准备了。
[00:40:52.560] 女：哦，在那个时候他就考虑他那个未来。
[00:40:56.023] 男：和决定了呀，就是我我不知道正常人谁会在。
[00:41:08.540] 男：不是正常人啊，你说。
[00:41:11.840] 女：我说他妈的。
[00:41:12.869] 男：正因为你你你在那边你你你你你状态那么差，然后你说你有喝酒，然后我就带你去买了。
[00:41:21.100] 男：我带你去买完之后，我就算带你去买了，咱是不是就得就得打道回府了，咱是不是就得回去了，这个酒你拿回去喝了。
[00:41:32.520] 男：你拿过去喝还安心，你说你在外面喝，或者说我你你自己一个人喝，这哪能放心呢，放不了心。
[00:41:41.200] 女：把决定丢给了我，他说你你要我们还要回去公园那边吗？
[00:41:47.060] 女：然后然后我然后我就就是我他能看出来我为他的问题生气了，嗯。
[00:41:51.980] 男：然后我就说我要买酒。
[00:41:53.620] 女：然后然后那个时候我就得诧异，为什么他对我的这种这种这种选择和状态一句表示都没有，就带我去了。
[00:42:01.456] 女：他就说是定应该没有然后带我去哪个地方买。
[00:42:04.919] 女：对啊，然后然后在路上我还我还是一言不发的，一句话也没问。
[00:42:09.475] 女：然后然后就是就是我的状态到了，因为已经到小卖部了，我都不知道，因为那时候我在生气嗯。
[00:42:17.060] 女：你要进去中台一直看着我嗯。
[00:42:20.360] 女：他一直就是我走到哪，他跟到哪，我不想被他看到我我买什么酒，然后我就买了很多很多的糖果嗯。
[00:42:27.680] 男：哦，你和我说你吃糖也是那个时候。
[00:42:30.700] 女：对我我是在便利店里面吃的，买的糖买了二十多块钱。
[00:42:34.900] 男：那么早就买车了吗？
[00:42:37.360] 女：就是就是那个那个QQ糖什么的那种，一块钱一包，几块钱一包的，我买了二十多块钱，22嗯。
[00:42:44.780] 女：然后然后他一直跟着我，然后他就说你没有看到你想买的吗？
[00:42:48.867] 女：你没有看到想要的吗？
[00:42:50.339] 女：我说你别管我。
[00:42:52.260] 女：然后然后然后我就趁他在那边看看久的时候，我自己就扣了账。
[00:42:56.791] 女：嗯，然后然后在那个时候我吃掉了第一包，就是那种旺旺QQ糖，我一下子就是到时候一包就吃了。
[00:43:03.762] 女：就在小嗯。
[00:43:05.640] 女：啊，我我是我为什么我我我我说买酒是在就是就是当时我有点想抽烟，但是我不想被他看到。
[00:43:12.860] 女：我抽烟我就我就从口袋里掏，掏到了吸管，就开始觉那个烟，他就看到我在那咬咬咬，一直在咬，也没有说话。
[00:43:21.030] 女：然后我就说我要买酒。
[00:43:23.020] 女：可能是在便利店里面，我买完糖果了，他还在看我。
[00:43:28.100] 女：我我然后然后然后我就开始看那个就是没有酒的那个饮料柜，嗯，他说没有，他他还在那问，就是他当时已经买好了一瓶啤酒，挺大罐的。
[00:43:39.660] 女：我就说。
[00:43:41.140] 女：我是说你不要跟着我好不好，对不对？
[00:43:43.653] 女：他为什么一直在跟着我看我干嘛？
[00:43:47.120] 女：看我买酒。
[00:43:50.800] 女：啊。
