[00:00:00.000] 女：你需要我往他那边靠吗？
[00:11:10.173] 女：因为我专门跟他说了，我说那时候你会很很害怕，我说不是那个是我是我自己有有有去问的。
[00:11:18.000] 女：但是今天晚上他居然没有说，就是意识到会有一些相似的地方。
[00:11:23.092] 女：虽然他。
[00:11:24.000] 女：他他之前有一些行为，比如说。
[00:11:27.280] 女：我能不能牵我的手啊？
[00:11:30.320] 男：这在干嘛？
[00:11:32.420] 女：还有什么？
[00:11:34.700] 女：就是问问我之后，问我会不会有点不舒服这种。
[00:11:38.480] 女：我相对而言，至少会有考虑到我的经历的影响吧。
[00:11:45.620] 女：嗯，等一下还有点疼。
[00:11:47.604] 男：抱抱抱抱抱抱呢。
[00:11:50.820] 女：但是今晚这个。
[00:11:52.880] 女：这完全是欲望主导的。
[00:11:55.388] 男：我他妈犯病一样。
[00:11:58.880] 男：不是啊，他他妈的他他他自己说错话，你就是你自己说错话了完完了之后他还生你气呢，然后然后他他又喝醉了，他又心情不好，然后你你问我能不能亲你，你神了。
[00:12:15.620] 男：难道你家指纹都得冒青烟？
[00:12:18.500] 女：应该应该就是我那个状态，就是特别想亲吧。
[00:12:22.388] 男：出你这个玩意儿。
[00:12:24.800] 女：嗯。
[00:12:25.940] 男：我在我在骂人。
[00:12:30.460] 男：不是，那那那哦你的状态那是能去做，但是能说出口的场合吗？
[00:12:40.500] 女：但是就是问问一两遍，我觉得都够了。
[00:12:43.456] 女：但他但是但是他一直在。
[00:12:45.426] 男：问我要确认。
[00:12:46.412] 男：对呀，那他妈的你你有这种说法，我不追究你就不能说出来。
[00:12:51.141] 男：你说出来你还一直问你，他妈你几个意思，你想干啥？
[00:12:56.060] 女：可不行。
[00:12:57.540] 男：操你妈的，他妈他妈就他妈看我喝多了，你想占我便宜。
[00:13:02.900] 女：嗯。
[00:13:05.720] 男：你他妈神经病。
[00:13:07.676] 女：哎，没办法。
[00:13:12.940] 男：小流氓。
[00:13:16.840] 女：哎，没办法，人家说人家。
[00:13:19.106] 男：说就算不是你随便哪个女生啊。
[00:13:22.520] 男：他喝醉了，你第一反应你不是送他回去吗？
[00:13:25.871] 男：你叫他安稳送到宿舍得了。
[00:13:33.960] 男：搞什么东西。
[00:13:45.340] 男：能不能哎。
[00:13:48.780] 男：要不要脸？
[00:13:49.825] 女：所以所以你也能看到他他他。
[00:13:53.100] 女：但他前几天说什么，一就是很担心他也他也像那些男的一样有。
[00:14:00.520] 男：就昨天前，就那天你你出去。
[00:14:04.180] 男：你跑了，然后他说他淡定死了，那个时候也能看出来。
[00:14:09.100] 女：为什么？
[00:14:10.240] 男：你担心鸡毛呢？
[00:14:15.080] 男：对吧？
[00:14:17.820] 男：那个时候也能看。
[00:14:19.042] 女：看看你能详细说什么。
[00:14:20.615] 女：我我能。
[00:14:21.700] 男：就是就是嗯。
[00:14:25.300] 男：他是为啥走了，你知道为啥走来着？
[00:14:30.000] 男：反正也是他问我什么东西，这个我我记得不太清了。
[00:14:34.440] 男：然后你不就你不就走了吗？
[00:14:38.640] 女：嗯。
[00:14:39.820] 男：哦，谈到我了，你就走了，然后你们就给我打电话了。
[00:14:44.140] 男：对呀，然后他他不就说他担心死你了吗？
[00:14:48.120] 男：对啊，担心事情，然后他自己他不是跑去喝酒了吗？
[00:14:52.080] 女：对啊。
[00:14:54.320] 男：哎。
[00:14:57.880] 男：就是就是他他为啥要担心你呀？
[00:15:01.480] 女：嗯。
[00:15:04.360] 女：出于他一种个人的极端的一种被他放大的恐惧，他说担心我走丢了，担心我不见了。
[00:15:11.733] 男：不是，那那你你平常你也没表现出什么，就在他面前你也没啥极端行为呀。
[00:15:19.280] 女：然后对他来说，他要是找不到我，他没有办法回学校交代。
[00:15:23.592] 男：他他妈的和谁交代呀？
[00:15:25.580] 男：不知道，我靠，不是你你你那么大人了，他那么大人了，还怕他妈你走丢他他他哎。
[00:15:33.980] 女：就是课题没有分离的一个问题啊，就是他自己他自己因为听了我的事情，首先他就对我有一个那个那个现实上的一个。
[00:15:44.820] 女：那个偏移了。
[00:15:45.829] 女：对。
[00:15:46.031] 女：然后然后第二个是他听了你的事情之后，他很恐惧他自己没有处理好这个问题，结果我又走丢了。
[00:15:54.110] 女：那就自然而然的会把他的恐惧和我的和我的离开给联系到一起，就投射到我的身上。
[00:16:01.460] 男：对啊，说的真好。
[00:16:04.600] 男：对吧？
[00:16:05.056] 男：对对对，这应该也是一种。
[00:16:08.580] 男：我他有可能是一种。
[00:16:12.640] 男：惯性。
[00:16:14.760] 女：嗯。
[00:16:16.240] 男：嗯，就像。
[00:16:18.460] 男：你今天和我提到那个。
[00:16:21.140] 男：买车一样。
[00:16:24.880] 女：嗯，买车。
[00:16:26.530] 男：他嗯我。
[00:16:28.320] 男：他，你跟我说他。
[00:16:30.880] 男：要买车对吧？
[00:16:33.460] 女：对，那个那个事情那个听到之后不会有点在意了。
[00:16:37.900] 男：所以我就记着了嗯那个。
[00:16:40.260] 男：它也是一种这种说一样的说辞。
[00:16:45.480] 女：对，这就是很经典的一种，就是其实。
[00:16:49.168] 男：其实是他想做，但是他非要说成哎呀。
[00:16:53.940] 男：为你。
[00:16:55.560] 女：就是对啊，不是为我，他是为了就是你不忍心看到未来的对象跟着你吃苦这种感觉。
[00:17:01.816] 女：但是你知道我当时第一个想法是什么吗？
[00:17:04.944] 女：我说如果是跟你我我哪怕跟你去小店里，我都很开心。
[00:17:08.992] 女：对呀。
[00:17:09.500] 男：那那那那你要那这个这个话。
[00:17:11.860] 女：这个话太暧昧了，我没说出口。
[00:17:14.420] 男：嗯，那那你要买车，你就正儿八经的说，你为啥还想买车不好呢？
[00:17:21.060] 男：你就你不光在那个时候，我买车，到时候上下班容易。
[00:17:28.200] 男：你到时候统计有一个方便啊。
[00:17:30.912] 女：他有个续他有个叙事上的一个问题，就是他。
[00:17:35.600] 女：嗯，有啥想。
[00:17:37.485] 男：忘掉嗯。
[00:17:40.620] 女：嗯，就是他。
[00:17:43.620] 女：哦，他说他说。
[00:17:45.660] 女：他说什么不结婚，什么不不要小孩也可以。
[00:17:51.240] 女：就是不结婚，然后可以，但是不婚可以，不是不可以晚婚，但是不要不婚。
[00:17:59.120] 女：但是我我我希望最后能让我的努力去让你认可我。
[00:18:03.380] 女：当然当然也就是说那个主导权是在谈，而不是真的在。
[00:18:07.240] 女：他希望被认可的那个女生身上。
[00:18:10.720] 男：意思就是嗯你比如说看上去。
[00:18:13.416] 女：是女生占主导权，那其实主导权是主动权是在他身上的。
[00:18:18.585] 女：嗯，然后。
[00:18:19.400] 女：然后。
[00:18:21.440] 男：哎。
[00:18:22.860] 男：然后是的。
[00:18:23.680] 女：就是他还是就是你你你应该能你能从这种态度感受到。
[00:18:28.400] 女：但是现在说怎么样怎么样，但最后还是会为了一些特别实际的一些利益考量，去让你做那种事情。
[00:18:36.608] 女：我到那个时候你已经脱不开身了，比如说要小孩什么的。
[00:18:41.328] 男：对对对对你像。
[00:18:43.000] 女：他跟你说，就是给你列很多很多影响。
[00:18:46.960] 女：然后就就是怎么怎么样怎么怎么样，然后就给你。
[00:18:51.280] 女：软硬的是其实施加一些压力。
[00:18:53.461] 男：反正反正他的逻辑是这样的，你不和他结婚，就是你不认可他，就他做的不够努力。
[00:19:00.020] 女：对。
[00:19:01.480] 男：搞什么玩意儿，你这两边都都都累。
[00:19:05.460] 女：这个没办法呀，他他妈也是这样。
[00:19:09.560] 女：然后他妈。
[00:19:11.440] 女：他妈他妈是什么样的态度吗？
[00:19:14.168] 男：求你别来祸害我。
[00:19:16.420] 女：然后就是他他跟他妈妈讲过，如果如果以后的对象就是。
[00:19:21.800] 女：他他产后抑郁，如果说因为各种因素害怕了小孩怎么办？
[00:19:25.843] 女：他妈妈的态度就是说，如果如果他媳妇害怕，那肯定是那肯定是他儿子做的不够好。
[00:19:33.000] 女：没有给足他安全感。
[00:19:35.800] 男：原生价值。
[00:19:39.460] 男：但在原生家庭，在这里面。
[00:19:42.300] 男：影响因素不是很大。
[00:19:48.920] 男：不是他那个。
[00:19:50.360] 男：哎，大逻辑就是反正你现在怎么怎么样可以，但我有能力让你改变。
[00:19:57.940] 女：对他有那个让我改变的期期待，嗯。
[00:20:02.644] 男：他有那个欲他有那个欲望。
[00:20:06.800] 女：他他他他他他什么时候他说他无意间提到一些就是有问题的。
[00:20:12.676] 女：比如说我没有能量，你走出来对我的话。
[00:20:16.293] 男：你不是你啥时候没不是你。
[00:20:19.400] 男：你从哪里走出来？
[00:20:24.380] 男：哎呦，我的天，跟你处那么长时间，我没想到，我都没想到过还有这个词。
[00:20:30.020] 女：你有让我走出来过吗？
[00:20:32.960] 男：我都不知道你进哪里去了。
[00:20:37.260] 男：我还让你走出来，我也不知道我进哪里去了。
[00:20:40.770] 男：对呀。
[00:20:42.440] 男：哎，怎么就走出来了，你在哪里呀？
[00:20:45.572] 男：你为啥要走出来呀？
[00:20:48.240] 女：从阴影中走出来。
[00:20:50.500] 男：你有个寂寞音，没有啊，不对，不能这样说。
[00:20:53.475] 女：然后然后他居然还问我，你是怎么看我的。
[00:20:56.636] 男：问我昨天晚上。
[00:20:57.752] 女：抱抱抱着他哭了，抱抱着那个哭的，他说了一堆，然后我很喜欢你什么你你怎么怎么样，你要怎么怎么帮助到我，怎么怎么样，那我希望我们之后还能怎么怎么样。
[00:21:10.940] 女：哎，这个还不算还还不算是一种什么看他了。
[00:21:15.860] 男：哦，你他他回去。
[00:21:17.056] 女：反射了那么久，就是一点没有回应到我，我昨天晚上跟他说的话。
[00:21:22.980] 男：嗯，对啊。
[00:21:27.460] 女：那个录音在平板上。
[00:21:30.220] 男：啊，什么意思？
[00:21:32.540] 男：哦，我能听我说。
[00:21:33.806] 女：他说话的录音在平板上行。
[00:21:36.127] 男：回头我我这边应该也能看到。
[00:21:39.440] 女：你能看到嗯。
[00:21:41.500] 女：但是他应该有可能把他把他哭的那段也录进去了，因为在。
[00:21:46.860] 女：那不对，那我不知道，就是在他找我。
[00:21:51.260] 女：找找我的时候，他是带着平板的，然后平板里面的录音是没听的，我以为他暂停了。
[00:21:57.860] 男：没事儿。
[00:22:00.140] 男：Hello. 
[00:22:03.240] 女：哎。
[00:22:06.060] 男：嗯。
[00:22:08.340] 男：想搞什么呢？
[00:22:09.427] 男：还不如考虑。
[00:22:10.515] 女：一个月之后跟你跟你上床的事呢。
[00:22:17.480] 男：清明，我看有没有。
[00:22:19.360] 男：因为我应该有钱，但我有没有空我不太确定。
[00:22:25.200] 女：五一票价太贵了吧。
[00:22:27.410] 男：515551的话。
[00:22:29.900] 男：我要五一来见你我得坐火车了。
[00:22:34.340] 男：对吧？
[00:22:34.864] 男：对，五一我得坐火车。
[00:22:37.900] 男：但是清明也就在两三周之后了，那个时候我不知道我有没有空。
[00:22:43.880] 女：看看吧。
[00:22:44.590] 男：对我要有空的话，我就来见你这两天。
[00:22:48.540] 女：不行不行，我们还有四个月嘛。
[00:22:55.100] 男：然后。
[00:22:58.820] 男：哎，这小子。
[00:23:01.780] 女：我懒得喷，我今今天晚上。
[00:23:04.470] 男：都表现的太你妈傻逼了。
[00:23:08.640] 女：而且而且而且为啥为为啥他亲人亲的那么熟练呢？
[00:23:14.000] 男：天津哪呀？
[00:23:16.420] 男：嗯，我听你哪呀。
[00:23:19.320] 女：你要听啊。
[00:23:20.360] 男：对啊，我我对这无所谓。
[00:23:23.600] 女：哦。
[00:23:24.760] 女：亲，这是亲的嘴啊。
[00:23:27.012] 男：哦，亲亲嘴。
[00:23:28.480] 女：然后往往下往。
[00:23:30.463] 男：下亲啊，往下亲亲脖子嗯嗯。
[00:23:35.100] 男：不是。
[00:23:37.140] 男：不要耍流氓吗？
[00:23:41.320] 女：然后然后稍微往耳朵那边。
[00:23:44.660] 女：扣的一下。
[00:23:47.000] 男：我以为他就稍微抿一下你的嘴呢。
[00:23:50.940] 女：并没有，他说要很认真的亲我。
[00:23:53.695] 男：我靠，这和认真有关系吗？
[00:23:55.992] 男：你这叫色情的信。
[00:23:58.240] 女：他他他他直接舌吻了。
[00:24:03.320] 男：牛逼，我只能说你你你你你恢复那么快也是挺挺厉害的。
[00:24:07.584] 女：然后他一直问我，你是不是很害怕？
[00:24:10.600] 男：你能不能死？
[00:24:11.603] 男：我都想把你舌头咬掉好不好？
[00:24:14.013] 女：因因为因为我当时应该在告知他抖吧。
[00:24:17.225] 男：我想把你舌头咬掉，你他妈，然后他说。
[00:24:20.236] 女：能不能摸？
[00:24:25.460] 男：我都录下来了。
[00:24:28.720] 女：但你你不一定不到啊，有点远吧。
[00:24:32.420] 男：我现在复盘的时候，我都录下来了。
[00:24:37.660] 女：然后然后然后然后然后他就然后我说不知道啊，不是。
[00:24:42.506] 男：然后他就说。
[00:24:43.608] 女：你要是不舒服的时候。
[00:24:45.591] 男：你就告诉我告诉你。
[00:24:47.353] 女：妈能不能继续继续亲我啥的。
[00:24:49.997] 男：我也不知道不行。
[00:24:52.640] 男：不是不是，他怎么下得去手的？
[00:24:56.640] 女：就是边亲边揉胸腔。
[00:24:58.323] 男：不是你妈的逼，你怎么下得去？
[00:25:00.848] 男：不是他怎么下得去手的，我应该会吵到别人，他怎么下得去手呢？
[00:25:06.860] 男：你在那边你你你你你你醉了，你你醉了，和他妈不省人事一样。
[00:25:12.544] 男：完他惹你生气，你刚你刚对他厉声说过话，完了他就。
[00:25:17.640] 男：自打几首啊？
[00:25:19.560] 男：啊，这是人吗？
[00:25:25.320] 男：我跟你说你要你。
[00:25:26.924] 女：然后完了之后，他还说你还要亲亲他。
[00:25:30.362] 男：但这个事情我拿出去，这他妈谁说他。
[00:25:33.940] 男：他都得是一个败类。
[00:25:36.880] 女：然后然后他说听听之后留好一点嘛。
[00:25:41.000] 男：那完了，我我我我我觉得我觉得他无药可救了。
[00:25:45.280] 男：那完了那完了那完了。
[00:25:47.831] 女：我操天天和川是一类。
[00:25:50.382] 男：的太太点了。
[00:25:52.200] 男：完蛋了完了完了完了别别别跟他掰扯了，没意义了。
[00:25:57.820] 男：对吧？
[00:25:58.215] 男：对，没意义了。
[00:25:59.205] 男：我我我觉得我觉得。
[00:26:00.789] 女：靠这件事情认清楚的也挺好的。
[00:26:03.362] 男：那一下看清了，你说这小子。
[00:26:06.000] 男：怎么说带道路那么快？
[00:26:10.080] 女：对吧？
[00:26:10.523] 女：他他前面还跟我说我一笔死。
[00:26:13.185] 男：那一下一下看清了。
[00:26:15.720] 男：对吧嗯。
[00:26:18.960] 男：我我前面还以为看似是33. 
[00:26:21.827] 女：看似是我同意的。
[00:26:23.640] 男：你同意鸡毛，你能你有能力同意吗？
[00:26:26.690] 男：你你就同意。
[00:26:30.100] 男：哎。
[00:26:32.080] 男：不是那种。
[00:26:33.113] 女：我的状态是到了回。
[00:26:35.540] 女：就是你应该能听到我在我在路上完全没有办法回应他的话。
[00:26:40.865] 男：对呀。
[00:26:41.291] 女：就是我我听到了，但是我一句话都说不出。
[00:26:44.913] 男：然后我的头一直打下去。
[00:26:47.043] 男：就你那种你你你你哎那都不不需要问你，你往那一坐，那一站都都都知道你是啥状态。
[00:26:54.640] 男：那个时候你他妈你想的，你不应该是我把他安全送到宿舍。
[00:26:59.620] 男：不就行了吗？
[00:27:01.220] 男：这他妈趁你不仅仅占你便宜。
[00:27:08.660] 女：哎，是不是那种他他对自己的道德有反思，然后我说其实ok然后然后他们都会把这个当当做那种信号啊。
[00:27:18.660] 男：那当时信号也也是他傻逼，也是他妈的。
[00:27:21.558] 男：他本来他说我担心如果没有什么不能走到一起。
[00:27:25.182] 女：还跟你这样说，占你便宜，我说没有啊。
[00:27:28.040] 男：啊。
[00:27:30.520] 女：不是，就是在在在今晚的事情之前啊，他就跟我说过，就是意思就是如果没有办法在一起，然后。
[00:27:39.340] 女：然后我跟自己亲密的事情是为了占你便宜，我说没有。
[00:27:43.476] 男：那你那你别管以前有没有，反正今晚是有了。
[00:27:47.400] 女：然后然后那个什么我就跟他说，对我来说重要的是当下吧，就不考虑未来。
[00:27:53.527] 女：结果他结果他说他用亲他亲我，然后用的理由就是他当下的感想就是想亲。
[00:28:01.080] 男：那我当下我还想拿刀捅死你呢。
[00:28:04.960] 女：你这家。
[00:28:06.380] 男：对吧你你你你这样说话，你这样说的话，你别怪我和你翻脸。
[00:28:12.100] 女：然后甚至甚至到中间那些，我我感觉想一想。
[00:28:16.080] 女：都都都行。
[00:28:16.961] 女：但是之后我我问他，我醉我醉的这么厉害，你亲我，你没有考虑过后果。
[00:28:23.132] 女：然后他回答我的问题，就让我彻底的定性了嗯。
[00:28:33.420] 男：哎。
[00:28:35.880] 女：Hello, 你在说话吗？
[00:28:37.420] 男：没有，我在叹息。
[00:28:41.200] 女：什么叫我会打死他？
[00:28:44.420] 男：还他还搁那闹呢嗯。
[00:28:47.180] 男：让他当开玩笑呢。
[00:28:49.320] 女：就是就是就是这个这个问这个他的这个回答。
[00:28:53.171] 男：他这个弄其实。
[00:28:54.388] 女：已经意识到了，就是这个这个行为是不妥当的。
[00:28:58.520] 男：他们觉得这无关紧要，虽然说有点不好，但无关紧要。
[00:29:03.160] 女：嗯，他就这个态度，然后包括我今晚说的很多东西，他其实也没有认真考虑过。
[00:29:09.005] 女：对他只是在搪塞。
[00:29:10.325] 男：对，那就是原谅我原谅我，原谅我就ok了。
[00:29:13.342] 女：然后然后就说他的理解能力就是不好。
[00:29:16.780] 男：这是你应该找的理由吗？
[00:29:21.340] 女：推我。
[00:29:22.980] 女：所以我在想应该怎么。
[00:29:26.280] 女：我决定要把他就是跟他进行。
[00:29:29.760] 女：行李接触这些事情都都都回收掉了。
[00:29:33.740] 男：回收。
[00:29:35.540] 女：嗯，对，对我来说。
[00:29:38.060] 女：就很开心，但是没有也无所谓。
[00:29:41.420] 男：对。
[00:29:42.400] 男：不是你你和他要是再发展。
[00:29:46.340] 男：得出事儿。
