[00:00:00.000] 女：落在宿舍了。
[00:29:38.960] 女：好了，你就说就是。
[00:29:40.378] 男：一个电脑，它一定能把命令行调出来。
[00:29:43.416] 男：命令行你知道是啥吗？
[00:29:45.940] 女：呃，就是那个呃那个wind什么能够弹出来的一个框框。
[00:29:49.612] 男：就之前我经常和你提的这玩意儿。
[00:29:52.260] 女：那个我自己以前也用过。
[00:29:54.410] 男：对对，就是你这。
[00:29:56.060] 男：哎，你搞一下背景嗯。
[00:29:58.820] 女：你可以在里面输一些一些就类似于代码的东西，然后你可以弹，就是给给电脑输命令吧，让他去做一些东西。
[00:30:06.753] 男：对对对，就我给你发对吧？
[00:30:08.556] 男：这就叫命令行，这就是命令行。
[00:30:11.240] 男：嗯，华为这个电脑最吊诡的地方是，它没有命令号，我用不了，它不支持。
[00:30:17.860] 男：他不支持，然后就就有人给华为那个官方去发那个邮件啊。
[00:30:26.320] 女：哎呀。
[00:30:27.540] 女：对。
[00:30:33.240] 女：你说。
[00:30:34.300] 男：就有人给华为官方去发邮件。
[00:30:38.080] 男：然后去问他，为啥你这个你这个电脑用不了这个命令行呀？
[00:30:43.576] 男：你用不了命令行，你让我怎么开发呀，对吧？
[00:30:47.469] 男：因为现在你不程序员的话，他开发软件都需要这个命令行，离不开命令行。
[00:30:56.020] 男：嗯。
[00:30:57.580] 女：呃，对。
[00:30:58.420] 男：什么？
[00:31:01.540] 男：因为因为你有了很多很多命令，很多那个操作，它是没有办法，它是没有那个图形界面的。
[00:31:13.200] 男：这个能理解吗？
[00:31:15.480] 女：撤出。
[00:31:16.720] 男：嗯，图像界面就是UI。
[00:31:20.720] 男：就就是那个你这个就打开一个程序，它给你呈现一个画面，然后下面你可以点点点的，知道吧？
[00:31:30.700] 男：就是你能接触到的基本上所有的东西它都叫它它它它都叫GUI，就是图形界面，图形交互界面这个东西。
[00:31:42.340] 男：但是在那个在那个就是程序员搞开发的时候，有。
[00:31:49.080] 男：特别特别多的命令，它是没有这个界面，它它是没有这个界面的。
[00:31:58.500] 男：那那没有这个界面，你怎么让它运行呢？
[00:32:02.220] 男：你只能通过命令行呀。
[00:32:05.080] 女：等一下。
[00:32:06.865] 男：好。
[00:32:11.740] 男：好像那我不说了。
[00:32:35.580] 男：你那边有回音，我听不清。
[00:32:50.700] 女：现在能听清吗？
[00:32:52.172] 男：嗯，现在差不多怎么了？
[00:32:57.400] 女：就是我带着电脑操作过来想用嗯。
[00:33:03.180] 女：然后然后那个线那个插头肛插进去就。
[00:33:07.600] 女：这灯都突然之间关掉了。
[00:33:10.250] 男：为啥呀？
[00:33:11.045] 男：跳闸吗？
[00:33:12.480] 女：就是那个闸呃，它总开关，空调插座和照明的闸都都都都就是有这资格，然后插座那个刚刚就卡。
[00:33:23.160] 女：白的。
[00:33:24.300] 男：是啊。
[00:33:25.680] 男：那咋办？
[00:33:26.315] 男：然后然后。
[00:33:27.162] 女：现在我把他们拉进去也没反应，就现在连灯都关掉了。
[00:33:32.420] 男：那你走吧。
[00:33:34.280] 女：我甚至没通电啊，我我只是插进去而已。
[00:33:38.820] 男：我估计也是，你等一下，你说。
[00:33:42.320] 女：我没开到。
[00:33:43.191] 男：不是不是你不是你不是没通电吗？
[00:33:46.740] 女：呃，我我的意思我的没通电的意思是，我们要把把那个把那个把那个圆形把那个圆形的插头连到电脑上面，就只有那条线。
[00:33:57.754] 男：我觉得问题问题应该是你那个插座它漏电。
[00:34:04.100] 男：就是你墙上的这个插座，它都有电，你你换个插座或者你换个教室吧。
[00:34:10.300] 女：可是现在的。
[00:34:12.000] 女：就是整个手机都没电了，它漏电。
[00:34:14.763] 男：然后它漏断电保护了呀，他漏电它必须它必须跳闸呀。
[00:34:20.120] 女：不是跳跳到了之后，我重新拉回去没用。
[00:34:23.284] 男：我不应也有可能是保险丝熔断了，对吧？
[00:34:26.448] 男：都有可能。
[00:34:27.900] 男：你先走吧啊。
[00:34:31.620] 女：在吗？
[00:34:32.115] 女：我我想玩游戏。
[00:34:33.760] 男：你看有没有别的别的教室，别的房间，你找个有空的。
[00:34:39.420] 女：我跑去跳隔壁教室的家去。
[00:34:42.280] 男：对我估计他是你墙，你插的那个插座，墙上那个插座它里面短路。
[00:34:49.300] 女：哎，你看我们我们这个房间多好笑，隔壁是另外一个社团，然后中间有个门嗯。
[00:35:01.580] 男：好像好像那个卫生间。
[00:35:08.500] 男：我得想着给导师汇报。
[00:35:13.900] 女：对不对哦，那那应该那应该就是那个那个那个把那个那个那个三三孔的插上去之后，就就顺着往外面漏电了。
[00:35:23.429] 女：对。
[00:35:23.641] 男：就是它漏电。
[00:35:24.700] 男：那个插座里面它可能短路了，它漏电。
[00:35:27.876] 男：然后你这个墙上的插座漏电，那漏的是220伏的电呀，那你妈的，那他他不给你跳吗？
[00:35:35.900] 女：嗯嗯。
[00:35:38.960] 男：然后没事儿，你在学校里面肯定得过来修，你当护照就行。
[00:35:45.440] 男：怎么不知道吗？
[00:35:46.965] 女：让他看看都知道吗？
[00:35:49.000] 男：你能不知道就行。
[00:35:51.360] 女：不是，这是我的教室。
[00:35:52.971] 男：哎，你的钥匙啊。
[00:35:54.380] 女：我们市场的销售。
[00:35:56.308] 女：我们。
[00:35:58.740] 男：让你们社团负责人过来修。
[00:36:01.140] 男：你去把那个非常生气。
[00:36:03.740] 女：哦，下来了，小花。
[00:36:08.060] 男：你你这样说，你就说你计算答案，然后你一开灯，怎么灯都不亮了。
[00:36:14.880] 女：啊，他说我操太牛逼了。
[00:36:16.603] 女：姐考试考试当天领考试还有一个多小时回来找我要这资料，结果还过了。
[00:36:22.348] 男：我操太牛逼了。
[00:36:23.497] 男：谁呀？
[00:36:27.820] 女：人家来呀。
[00:36:28.760] 女：行。
[00:36:29.690] 男：啊。
[00:36:55.760] 女：这个囊肿一定肿胀的有点痛。
[00:36:58.625] 男：手上的吗？
[00:37:01.940] 男：你这手上怎么怎么弄出来的呀？
[00:37:05.960] 女：看手机。
[00:37:40.100] 女：这个流程工这两。
[00:38:09.540] 女：我打开。
[00:38:11.360] 男：打什么呀？
[00:38:20.360] 女：不过对一般男人来说，确实是不能接受。
[00:38:23.900] 女：自己喜欢的对象，然后同时和两三个人做爱了。
[00:38:30.760] 男：那确实。
[00:38:33.940] 女：你不能怪自己太传统吧。
[00:38:42.540] 女：呃，哎我都那个断了。
[00:38:49.620] 女：好的好的，你继续骂吧，我好多没听到，我都服了。
[00:38:54.160] 男：嗯，我是说这个华为它不是好。
[00:38:56.800] 男：嗯，哎我靠。
[00:38:57.680] 女：我没在听，没在听，别说了，然后你在那边放块机啊。
[00:39:02.080] 男：听我，我听不见你说的话。
[00:39:06.620] 男：那个什么呃，你那个华为它不是没有命令行吗？
[00:39:15.740] 男：Hello. 
[00:39:19.340] 男：Hello. 
[00:39:20.900] 女：爱你嗯。
[00:39:23.420] 男：你教室里面挺空旷的呀。
[00:39:26.760] 女：嗯。
[00:39:28.240] 女：我他妈出面就是那个那个大屌女孩这个这个这个部分被别人看到。
[00:39:33.328] 男：的什么大屌女孩。
[00:39:35.280] 女：那个穿着水手服或者跟鸡蛋鸡的，然后都是跑来跑去的。
[00:39:42.760] 男：哎，我怎么说你好呢？
[00:39:47.460] 男：我该说你。
[00:39:50.020] 男：我该说你。
[00:39:53.640] 男：无可畏惧呢？
[00:39:54.880] 男：还是该说你不知廉耻呢？
[00:39:59.400] 女：别说我这样啊。
[00:40:01.400] 男：那我的桌面没有他妈大奶子妹子了。
[00:40:06.440] 男：没有吧，没有我我没用过那样的，我只是会偷偷的看。
